Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;80.921;191.943;855.168;347.568;1.475.600
2021-43;81.248;192.951;863.200;350.777;1.488.176
2021-44;79.992;190.055;854.291;346.701;1.471.039
2021-45;76.201;181.021;820.203;332.439;1.409.864
2021-46;61.190;145.916;648.135;262.129;1.117.370
2021-47;;;;;
2021-48;;;;;
2021-49;;;;;
2021-50;;;;;
2021-51;;;;;
2021-52;;;;;
2022-01;;;;;
2022-02;;;;;
2022-03;;;;;
2022-04;;;;;
2022-05;;;;;
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
