Regione;Macroarea;Casi notificati al 19/08/2021;% casi nella macroarea;Ampiezza campionaria (p=5, epsilon=2%)
Abruzzo;Sud;154;5%;20
Basilicata;Sud;68;2%;9
Calabria;Sud;231;7%;30
Campania;Sud;647;20%;82
Emilia-Romagna;Nord-Est;576;44%;151
Friuli Venezia Giulia;Nord-Est;68;5%;18
Lazio;Centro;548;32%;117
Liguria;Nord-Ovest;212;19%;63
Lombardia;Nord-Ovest;627;57%;185
Marche;Centro;208;12%;45
Molise;Sud;12;0%;2
P.A. Bolzano;Nord-Est;30;2%;8
P.A. Trento;Nord-Est;33;3%;9
Piemonte;Nord-Ovest;254;23%;75
Puglia;Sud;217;7%;28
Sardegna;Isole;451;14%;58
Sicilia;Isole;1.377;44%;175
Toscana;Centro;844;50%;179
Umbria;Centro;104;6%;23
Valle d'Aosta;Nord-Ovest;11;1%;4
Veneto;Nord-Est;588;45%;154
TOTALE;;7.260;;1.435
