REGIONE/PA;N. laboratori;N. campioni positivi in RT-PCR;N. campioni sequenziati;N. di sequenze ottenute per analisi;N. OMICRON 1.1.529;N. OMICRON BA.1;N. OMICRON BA.2;N. OMICRON BA.3;N. OMICRON BA.4;N. OMICRON BA.5;N. OMICRON XJ;N. OMICRON XM;N. OMICRON XN;N. OMICRON XQ;N. OMICRON XT;Totale;% OMICRON 1.1.529;% OMICRON BA.1;% OMICRON BA.2;% OMICRON BA.3;% OMICRON BA.4;% OMICRON BA.5;% OMICRON XJ;% OMICRON XM;% OMICRON XN;% OMICRON XQ;% OMICRON XT;Totale
ABRUZZO;2;2273;64;64;0;2;62;0;0;0;0;0;0;0;0;64;0,00;3,13;96,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100
BASILICATA;2;175;14;14;0;0;14;0;0;0;0;0;0;0;0;14;0,00;0,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100
CALABRIA;4;2284;38;35;0;0;34;0;1;0;0;0;0;0;0;35;0,00;0,00;97,14;0,00;2,86;0,00;0,00;0,00;0,00;0,00;0,00;100
CAMPANIA;3;584;130;128;0;8;120;0;0;0;0;0;0;0;0;128;0,00;6,25;93,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100
EMILIA ROMAGNA;3;177;177;174;0;3;164;0;7;0;0;0;0;0;0;174;0,00;1,72;94,25;0,00;4,02;0,00;0,00;0,00;0,00;0,00;0,00;100
FRIULI VENEZIA GIULIA;7;119;68;68;0;0;67;0;0;0;0;0;0;0;1;68;0,00;0,00;98,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,47;100
LAZIO;1;109;109;109;0;3;104;1;0;1;0;0;0;0;0;109;0,00;2,75;95,41;0,92;0,00;0,92;0,00;0,00;0,00;0,00;0,00;100
LIGURIA;7;1638;46;45;0;1;44;0;0;0;0;0;0;0;0;45;0,00;2,22;97,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100
LOMBARDIA;16;317;315;314;4;11;292;0;3;0;0;1;3;0;0;314;1,27;3,50;92,99;0,00;0,96;0,00;0,00;0,32;0,96;0,00;0,00;100
MARCHE;5;64;64;63;0;1;62;0;0;0;0;0;0;0;0;63;0,00;1,59;98,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100
MOLISE;1;22;22;17;0;0;17;0;0;0;0;0;0;0;0;17;0,00;0,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100
PA BOLZANO;1;23;15;15;0;0;15;0;0;0;0;0;0;0;0;15;0,00;0,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100
PA TRENTO;1;17;17;15;0;0;15;0;0;0;0;0;0;0;0;15;0,00;0,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100
PIEMONTE;11;109;109;90;0;1;89;0;0;0;0;0;0;0;0;90;0,00;1,11;98,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100
PUGLIA;10;63;62;62;0;4;56;0;0;2;0;0;0;0;0;62;0,00;6,45;90,32;0,00;0,00;3,23;0,00;0,00;0,00;0,00;0,00;100
SARDEGNA;10;939;61;61;0;0;40;0;0;0;12;9;0;0;0;61;0,00;0,00;65,57;0,00;0,00;0,00;19,67;14,75;0,00;0,00;0,00;100
SICILIA;6;102;102;85;0;11;73;0;0;0;0;0;0;1;0;85;0,00;12,94;85,88;0,00;0,00;0,00;0,00;0,00;0,00;1,18;0,00;100
TOSCANA;3;200;97;97;0;1;95;0;1;0;0;0;0;0;0;97;0,00;1,03;97,94;0,00;1,03;0,00;0,00;0,00;0,00;0,00;0,00;100
UMBRIA;4;416;54;54;0;1;50;0;0;3;0;0;0;0;0;54;0,00;1,85;92,59;0,00;0,00;5,56;0,00;0,00;0,00;0,00;0,00;100
VALLE D'AOSTA;1;2;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0,00;0,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100
VENETO;14;233;233;233;0;2;230;0;0;0;0;1;0;0;0;233;0,00;0,86;98,71;0,00;0,00;0,00;0,00;0,43;0,00;0,00;0,00;100
ITALIA;112;9866;1799;1745;4;49;1645;1;12;6;12;11;3;1;1;1745;0,20;3,52;93,83;0,07;0,47;0,41;0,66;0,59;0,15;0,09;0,03;100
