Regione;Macroarea;Casi notificati il 31/03/2022;% casi nella macroarea;Ampiezza campionaria (p=5%, __=2%)
Abruzzo;Sud;5385;20,30%;92
Basilicata;Sud;785;3,00%;14
Calabria;Sud;2063;7,80%;35
Campania;Sud;7313;27,60%;124
Emilia-Romagna;Nord-Est;6011;39,80%;177
Friuli Venezia Giulia;Nord-Est;1303;8,60%;39
Lazio;Centro;6351;46,30%;205
Liguria;Nord-Ovest;1433;10,30%;46
Lombardia;Nord-Ovest;8634;62,20%;276
Marche;Centro;1963;14,30%;64
Molise;Sud;549;2,10%;10
P.A. Bolzano;Nord-Est;380;2,50%;12
P.A. Trento;Nord-Est;459;3,00%;14
Piemonte;Nord-Ovest;3718;26,80%;119
Puglia;Sud;4293;16,20%;73
Sardegna;Isole;2028;7,60%;35
Sicilia;Isole;4106;15,50%;70
Toscana;Centro;3763;27,50%;122
Umbria;Centro;1628;11,90%;53
Valle d'Aosta;Nord-Ovest;91;0,70%;3
Veneto;Nord-Est;6948;46,00%;204
TOTALE;;69204;;1787
