Gruppo;Fascia di etˆ;Efficacia vaccinale (Vaccinati ciclo incompleto vs non vaccinati);Efficacia vaccinale (Vaccinati ciclo completo vs non vaccinati)
Diagnosi di Sars-CoV-2 ;dic-39;45,09 [44,3-45,86] ;69,63 [69,02-70,23] 
;40-59;69,63 [69,14-70,11] ;79,98 [79,62-80,33] 
;60-79;78,5 [78,1-78,89] ;88,01 [87,74-88,27] 
;80+;59,67 [58,35-60,95] ;90,07 [89,78-90,35] 
;Totale;65,14 [64,83-65,45] ;82,54 [82,35-82,73] 
;;;
Ospedalizzazioni;dic-39;81,43 [78,33-84,09] ;87,66 [84,87-89,94] 
;40-59;90,14 [89,07-91,1] ;94,45 [93,68-95,13] 
;60-79;88,03 [87,38-88,66] ;95,53 [95,13-95,89] 
;80+;71,94 [70,21-73,56] ;94,95 [94,64-95,25] 
;Totale;84,23 [83,66-84,78] ;94,92 [94,69-95,14] 
;;;
Ricoveri in Terapia Intensiva;dic-39;-;-
;40-59;93,00 [89,69-95,25] ;97,59 [95,52-98,71] 
;60-79;91,81 [90,38-93,02] ;97,34 [96,51-97,97] 
;80+;77,18 [69,08-83,16] ;95,66 [94,11-96,81] 
;Totale;90,78 [89,49-91,92] ;97,04 [96,42-97,55] 
;;;
Decessi ;dic-39;-;-
;40-59;87,45 [80,42-91,95] ;95,14 [89,79-97,69] 
;60-79;90,51 [89,19-91,66] ;97,51 [96,70-98,11] 
;80+;77,82 [75,64-79,81];97,21 [96,86-97,52] 
;Totale;83,95 [82,73-85,09] ;97,16 [96,84-97,45] 
