Regione;Totale Alunni;Alunni che hanno partecipato alla rilevazione;% rispetto al totale degli Alunni ;Alunni in presenza ;% Alunni in presenza 
Piemonte;513.992;449.208;87,4%;401.582;89,4%
Lombardia ;1.161.377;899.565;77,5%;791.350;88,0%
Veneto ;574.274;426.142;74,2%;374.083;87,8%
Friuli Venezia Giulia ;138.732;109.803;79,1%;99.612;90,7%
Liguria ;168.097;143.809;85,6%;125.312;87,1%
Emilia Romagna ;543.921;398.421;73,2%;348.303;87,4%
Toscana ;465.637;372.982;80,1%;332.875;89,2%
Umbria ;113.371;105.035;92,6%;94.081;89,6%
Marche ;202.169;169.824;84,0%;148.537;87,5%
Lazio ;713.943;594.057;83,2%;528.739;89,0%
Abruzzo ;167.135;133.276;79,7%;119.525;89,7%
Molise ;35.776;34.984;97,8%;28.929;82,7%
Campania ;833.812;659.377;79,1%;594.912;90,2%
Puglia ;550.708;474.199;86,1%;430.581;90,8%
Basilicata ;72.443;65.878;90,9%;59.285;90,0%
Calabria ;262.593;216.328;82,4%;187.844;86,8%
Sicilia ;689.069;611.970;88,8%;513.567;83,9%
Sardegna ;192.192;157.241;81,8%;143.815;91,5%
TOTALE ;7.399.241;6.022.099;81,4%;5.322.932;88,4%
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
