Regione;Totale Classe/Sezioni;Classi/Sezioni che hanno partecipato alla rilevazione;% rispetto al totale classi;Classi/Sezioni in presenza ;di cui in DDI;% Classi/Sezioni in presenza ;% di cui in DDI;N. classi in DAD e sezioni in quarantena;% classi in DAD e sezioni in quarantena
Piemonte;26.351;22.580;85,7%;20.968;2.796;92,9%;12,4%;1.612;7,1%
Lombardia ;55.962;43.794;78,3%;40.215;6.051;91,8%;13,8%;3.579;8,2%
Veneto ;28.285;21.079;74,5%;19.355;2.351;91,8%;11,2%;1.724;8,2%
Friuli Venezia Giulia ;7.330;5.933;80,9%;5.567;550;93,8%;9,3%;366;6,2%
Liguria ;8.409;7.185;85,4%;6.583;1.121;91,6%;15,6%;602;8,4%
Emilia Romagna ;25.233;18.796;74,5%;17.481;2.303;93,0%;12,3%;1.315;7,0%
Toscana ;22.467;18.498;82,3%;17.146;2.418;92,7%;13,1%;1.352;7,3%
Umbria ;5.972;5.509;92,2%;5.105;868;92,7%;15,8%;404;7,3%
Marche ;10.152;8.549;84,2%;7.971;920;93,2%;10,8%;578;6,8%
Lazio ;34.534;29.560;85,6%;27.376;3.551;92,6%;12,0%;2.184;7,4%
Abruzzo ;8.755;6.999;79,9%;6.606;1.362;94,4%;19,5%;393;5,6%
Molise ;2.145;2.053;95,7%;1.772;87;86,3%;4,2%;281;13,7%
Campania ;43.971;35.124;79,9%;33.396;4.092;95,1%;11,7%;1.728;4,9%
Puglia ;27.973;24.053;86,0%;22.507;4.326;93,6%;18,0%;1.546;6,4%
Basilicata ;4.165;3.771;90,5%;3.589;752;95,2%;19,9%;182;4,8%
Calabria ;15.128;12.419;82,1%;12.062;978;97,1%;7,9%;357;2,9%
Sicilia ;36.636;32.548;88,8%;31.124;4.356;95,6%;13,4%;1.424;4,4%
Sardegna ;11.272;9.240;82,0%;8.682;1.354;94,0%;14,7%;558;6,0%
TOTALE ;374.740;307.690;82,1%;287.505;40.236;93,4%;13,1%;20.185;6,6%
