Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2013-42;14-20 ottobre 2013;909;428;1.176.370;0,36;<2 ;79.924;112;1,4;154.748;56;0,36;693.261;223;0,32;248.437;37;0,15
2013-43;21-27 ottobre 2013;940;565;1.222.506;0,46;<2 ;82.119;132;1,61;160.004;91;0,57;722.367;290;0,4;258.016;52;0,2
2013-44;28 ottobre-3 novembre 2013;951;563;1.236.842;0,46;<2 ;82.290;132;1,6;161.845;113;0,7;730.093;268;0,37;262.614;50;0,19
2013-45;4-10 novembre 2013;1.012;885;1.323.302;0,67;<2 ;85.432;197;2,31;169.413;169;1;785.156;441;0,56;283.301;78;0,28
2013-46;11-17 novembre 2013;1.020;1.025;1.328.309;0,77;<2 ;85.449;202;2,36;169.727;179;1,05;788.746;548;0,69;284.387;96;0,34
2013-47;18-24 novembre 2013;1.030;1.270;1.339.233;0,95;<2 ;87.575;247;2,82;173.886;208;1,2;793.744;694;0,87;284.028;121;0,43
2013-48;25 novembre-1 dicembre 2013;1.032;1.649;1.342.072;1,23;<2 ;87.839;329;3,75;173.454;278;1,6;795.479;881;1,11;285.300;161;0,56
2013-49;2-8 dicembre 2013;1.036;1.914;1.346.922;1,42;<2 ;88.906;360;4,05;176.932;345;1,95;795.639;1.049;1,32;285.445;160;0,56
2013-50;9-15 dicembre 2013;1.026;2.279;1.335.692;1,71;<2 ;85.962;416;4,84;172.547;412;2,39;792.645;1.255;1,58;284.538;196;0,69
2013-51;16-22 dicembre 2013;1.001;2.540;1.301.515;1,95;<2 ;83.713;447;5,34;168.046;434;2,58;772.988;1.404;1,82;276.768;255;0,92
2013-52;23-29 dicembre 2013;952;2.766;1.238.876;2,23;<5 ;80.154;462;5,76;160.192;443;2,77;735.087;1.557;2,12;263.443;304;1,15
2014-01;30 dicembre 2013-5 gennaio 2014;997;3.842;1.298.530;2,96;<5 ;85.211;517;6,07;169.474;542;3,2;767.845;2.311;3,01;276.000;472;1,71
2014-02;6-12 gennaio 2014;1.042;5.592;1.356.857;4,12;<5 ;88.789;650;7,32;176.883;839;4,74;803.590;3.477;4,33;287.595;626;2,18
2014-03;13-19 gennaio 2014;1.034;6.763;1.352.620;5;<5 ;87.617;1.136;12,97;174.249;1.280;7,35;802.555;3.776;4,7;288.199;571;1,98
2014-04;20-26 gennaio 2014;1.036;7.744;1.350.548;5,73;<9 ;89.116;1.544;17,33;178.094;1.631;9,16;795.935;3.917;4,92;287.403;652;2,27
2014-05;27 gennaio-2 febbraio 2014;1.030;8.716;1.339.157;6,51;<9 ;89.009;1.765;19,83;176.646;1.931;10,93;790.161;4.407;5,58;283.341;613;2,16
2014-06;3-9 febbraio 2014;1.021;8.780;1.327.162;6,62;<9 ;88.236;1.675;18,98;175.794;2.065;11,75;781.810;4.387;5,61;281.322;653;2,32
2014-07;10-16 febbraio 2014;1.006;8.151;1.311.337;6,22;<9 ;85.212;1.498;17,58;170.965;1.840;10,76;776.284;4.165;5,37;278.876;648;2,32
2014-08;17-23 febbraio 2014;997;7.110;1.293.502;5,5;<9 ;87.453;1.307;14,95;173.904;1.578;9,07;758.570;3.660;4,82;273.575;565;2,07
2014-09;24 febbraio-2 marzo 2014;986;6.008;1.280.406;4,69;<5 ;87.276;1.078;12,35;172.577;1.316;7,63;750.624;3.122;4,16;269.929;492;1,82
2014-10;3-9 marzo 2014;981;4.993;1.277.850;3,91;<5 ;85.265;863;10,12;169.578;1.103;6,5;753.529;2.621;3,48;269.478;406;1,51
2014-11;10-16 marzo 2014;949;4.141;1.234.184;3,36;<5 ;80.925;723;8,93;163.214;896;5,49;728.059;2.190;3,01;261.986;332;1,27
2014-12;17-23 marzo 2014;949;3.454;1.218.836;2,83;<5 ;81.819;622;7,6;162.708;796;4,89;716.397;1.719;2,4;257.912;317;1,23
2014-13;24-30 marzo 2014;914;2.410;1.191.042;2,02;<2 ;77.730;420;5,4;156.079;505;3,24;704.396;1.278;1,81;252.837;207;0,82
2014-14;31 marzo-6 aprile 2014;887;1.856;1.158.845;1,6;<2 ;73.955;308;4,16;148.617;384;2,58;686.432;1.001;1,46;249.841;163;0,65
2014-15;7-13 aprile 2014;824;1.304;1.077.706;1,21;<2 ;67.776;206;3,04;136.618;234;1,71;641.697;728;1,13;231.615;136;0,59
2014-16;14-20 aprile 2014;665;730;876.296;0,83;<2 ;53.375;104;1,95;108.129;124;1,15;523.988;421;0,8;190.804;81;0,42
2014-17;21-27 aprile 2014;521;310;687.533;0,45;<2 ;43.775;46;1,05;86.710;37;0,43;408.187;186;0,46;148.861;41;0,28
