Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.257;4.203;1.642.020;2,56;863;9,30;605;2,77;2255;2,38;480;1,25
2021-43;1.266;4.924;1.654.716;2,98;1167;12,58;696;3,19;2543;2,66;518;1,34
2021-44;1.270;5.526;1.659.711;3,33;1285;13,88;829;3,80;2802;2,92;610;1,57
2021-45;1.281;6.586;1.677.080;3,93;1602;17,39;1052;4,84;3186;3,27;746;1,89
2021-46;1.261;7.190;1.656.305;4,34;1753;19,32;1149;5,37;3495;3,63;793;2,04
2021-47;1.263;7.676;1.656.861;4,63;1667;18,43;1235;5,77;3832;3,98;942;2,42
2021-48;1.223;7.377;1.606.746;4,59;1438;16,56;1169;5,69;3856;4,12;914;2,42
2021-49;1.200;6.788;1.575.880;4,31;1220;14,39;1029;5,13;3656;3,98;883;2,37
2021-50;1.158;7.004;1.519.603;4,61;1158;13,80;1051;5,34;3888;4,41;907;2,53
2021-51;1.087;6.980;1.422.994;4,91;948;11,91;976;5,22;4163;5,06;893;2,68
2021-52;972;7.054;1.272.079;5,55;744;10,39;919;5,41;4490;6,13;901;3,02
2022-01;782;5.256;1.018.048;5,16;525;8,58;730;5,07;3347;5,80;654;2,77
2022-02;;;;;;;;;;;;
2022-03;;;;;;;;;;;;
2022-04;;;;;;;;;;;;
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
