Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;39;507;55.322;9,16;29;7,10;67;7,79;329;11,23;82;6,15
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;157;1.701;207.598;8,19;148;8,45;203;5,28;1.176;10,84;174;4,03
P.A. di Bolzano;3;8;4.403;1,82;3;8,90;2;2,51;3;1,16;-;-
P. A. di Trento;4;9;5.838;1,54;1;3,02;-;-;8;2,46;-;-
Veneto;41;74;57.934;1,28;6;1,61;4;0,46;62;1,96;2;0,14
Friuli V.G.;5;16;5.921;2,70;-;-;-;-;15;9,33;1;1,03
Liguria;25;133;32.055;4,15;7;5,88;19;6,47;92;4,97;15;1,59
Emilia Romagna;28;277;32.025;8,65;27;12,17;28;5,51;207;11,89;15;2,05
Toscana;33;314;55.243;5,68;22;8,17;30;4,19;211;7,23;51;3,14
Umbria;7;36;7.263;4,96;4;6,16;6;3,69;20;5,47;6;4,50
Marche;13;85;16.750;5,07;15;11,58;4;1,13;64;7,52;2;0,59
Lazio;194;903;255.951;3,53;89;8,95;118;4,51;564;3,54;132;2,18
Abruzzo;30;181;35.381;5,12;26;11,71;41;8,03;94;4,64;20;2,57
Molise;7;5;7.186;0,70;-;-;-;-;4;0,87;1;0,54
Campania;6;72;6.732;10,70;12;17,29;13;6,82;34;10,71;13;13,58
Puglia;68;343;87.001;3,94;56;12,09;71;7,08;176;3,39;40;1,95
Basilicata;11;28;14.752;1,90;8;5,01;14;4,38;6;0,83;-;-
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;101;545;118.581;4,60;69;12,81;109;8,11;275;3,84;92;3,27
Sardegna;9;11;10.566;1,04;3;1,97;1;0,31;-;-;7;4,39
