Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;92.788;218.132;947.479;383.621;1.642.020
2021-43;92.796;218.350;956.228;387.342;1.654.716
2021-44;92.603;218.344;960.234;388.530;1.659.711
2021-45;92.132;217.258;973.768;393.922;1.677.080
2021-46;90.714;213.970;963.282;388.339;1.656.305
2021-47;90.444;213.962;963.193;389.262;1.656.861
2021-48;86.856;205.591;936.616;377.683;1.606.746
2021-49;84.781;200.710;918.099;372.290;1.575.880
2021-50;83.931;196.959;880.772;357.941;1.519.603
2021-51;79.626;186.985;823.037;333.346;1.422.994
2021-52;71.641;169.899;732.559;297.980;1.272.079
2022-01;61.198;143.845;577.276;235.729;1.018.048
2022-02;;;;;
2022-03;;;;;
2022-04;;;;;
2022-05;;;;;
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
