REGIONE/PA;NUMERO DI CASI TOTALE;"INCIDENZA CUMULATIVA
(PER 100.000 AB)";"N. CASI TRA IL
19-25/7";INCIDENZA 7GG (PER 100.000 AB);"N. CASI TRA IL
12-25/7";INCIDENZA 14GG (PER 100.000 AB)
Abruzzo;75.947;5.909,10;382;29,72;630;49,02
Basilicata;26.866;4.906,32;131;23,92;185;33,79
Calabria;70.120;3.734,30;516;27,48;853;45,43
Campania;430.304;7.576,10;1.843;32,45;3.261;57,41
Emilia-Romagna;392.181;8.821,88;2.929;65,89;4.347;97,78
Friuli-Venezia Giulia;104.937;8.753,85;287;23,94;423;35,29
Lazio;364.012;6.362,96;4.002;69,96;7.160;125,16
Liguria;104.918;6.949,11;743;49,21;1.076;71,27
Lombardia;849.803;8.526,17;3.643;36,55;6.124;61,44
Marche;104.862;6.984,25;552;36,77;875;58,28
Molise;13.907;4.689,64;56;18,88;129;43,5
Piemonte;366.597;8.578,96;820;19,19;1.296;30,33
PA Bolzano;65.191;12.214,57;141;26,42;265;49,65
PA Trento;47.318;8.686,27;255;46,81;397;72,88
Puglia;255.414;6.504,16;858;21,85;1.376;35,04
Sardegna;60.207;3.767,12;1.431;89,54;2.441;152,73
Sicilia;241.803;4.995,03;3.953;81,66;6.521;134,71
Toscana;249.008;6.788,04;2.756;75,13;3.932;107,19
Umbria;58.328;6.743,02;544;62,89;761;87,98
Valle d’Aosta;11.693;9.437,83;36;29,06;48;38,74
Veneto;434.655;8.957,43;3.942;81,24;6.398;131,85
ITALIA;4.328.071;7.303,83;29.820;50,32;48.498;81,84
