Gruppo;Fascia di etˆ;Non vaccinati;Vaccinati con ciclo incompleto;Vaccinati con ciclo completo;Totale;% Non vaccinati;% Vaccinati con ciclo incompleto;% Vaccinati con ciclo completo
Popolazione (10/07/2021);dic-39;11.988.272;3.457.775;1.989.508;17.435.555;68,8%;19,8%;11,4%
;40-59;7.432.135;6.004.517;5.010.808;18.447.460;40,3%;32,5%;27,2%
;60-79;3.023.125;4.078.538;6.471.116;13.572.779;22,3%;30,0%;47,7%
;80+;435.635;200.300;3.918.172;4.554.107;9,6%;4,4%;86,0%
;;;;;;;;
Diagnosi di Sars-CoV-2 (25/06/2021 - 25/07/2021);dic-39;30626;6829;2.291;39.746;77,1%;17,2%;5,8%
;40-59;7782;3717;2.598;14.097;55,2%;26,4%;18,4%
;60-79;1951;1.423;1.545;4.919;39,7%;28,9%;31,4%
;80+;370;63;843;1.276;29,0%;4,9%;66,1%
;;;;;;;;
Ospedalizzazioni (18/06/2021 - 18/07/2021);dic-39;616;37;13;666;92,5%;5,6%;2,0%
;40-59;548;60;37;645;85,0%;9,3%;5,7%
;60-79;332;108;87;527;63,0%;20,5%;16,5%
;80+;123;11;143;277;44,4%;4,0%;51,6%
;;;;;;;;
Ricoveri in Terapia Intensiva (18/06/2021 - 18/07/2021);dic-39;15;0;0;15;100,0%;0,0%;0,0%
;40-59;48;0;2;50;96,0%;0,0%;4,0%
;60-79;45;10;8;63;71,4%;15,9%;12,7%
;80+;15;1;6;22;68,2%;4,5%;27,3%
;;;;;;;;
Decessi (04/06/2021 - 04/07/2021);dic-39;4;0;0;4;100,0%;0,0%;0,0%
;40-59;30;2;1;33;90,9%;6,1%;3,0%
;60-79;67;22;7;96;69,8%;22,9%;7,3%
;80+;68;6;30;104;65,4%;5,8%;28,8%
