Regione;Macroarea;Casi notificati al 13/05/2021;% casi nella macroarea;Ampiezza campionaria (p=5, epsilon=2%)
Abruzzo;Sud;89;3%;13
Basilicata;Sud;91;3%;13
Calabria;Sud;327;11%;46
Campania;Sud;1.110;39%;154
Emilia-Romagna;Nord-Est;618;47%;161
Friuli Venezia Giulia;Nord-Est;100;8%;26
Lazio;Centro;654;39%;141
Liguria;Nord-Ovest;115;5%;20
Lombardia;Nord-Ovest;1.396;62%;237
Marche;Centro;233;14%;50
Molise;Sud;12;0%;2
P.A. Bolzano;Nord-Est;65;5%;17
P.A. Trento;Nord-Est;53;4%;14
Piemonte;Nord-Ovest;706;31%;120
Puglia;Sud;554;19%;77
Sardegna;Isole;72;3%;10
Sicilia;Isole;603;21%;84
Toscana;Centro;651;39%;140
Umbria;Centro;139;8%;30
Valle d'Aosta;Nord-Ovest;29;1%;5
Veneto;Nord-Est;468;36%;22
TOTALE;;8.085;;1482
