Nomenclatura OMS;Lignaggio;"Numero sequenze
(cumulativi)";"%
(cumulativi)*";"Numero sequenze
(ultimi 45 gg)**";"%
(ultimi 45 gg)**"
Alfa (a);B.1.1.7;26.478;35,4;113;1,86
Beta (a);B.1.351;131;0,18;0;0
Gamma (a);P.1;2.647;3,54;23;0,38
Delta (a);B.1.617.2;33.051;44,18;5737;94,47
Lambda (a);C.37;18;0,02;0;0
Mu;B.1.621;83;0,11;0;0
Omicron (a);B.1.529;4;0,01;4;0,07
ND (b);B.1.640 ;12;0,02;12;0,2
ND (b,c);B.1.525;460;0,61;0;0
ND (b,c);B.1.617.1;19;0,03;0;0
ND (b);B.1.617.3;0;0;0;0
ND (b,c);P.2;3;0;0;0
;Altro lignaggio;11896;15,9;184;3,03
Totale;;74802;100;6073;100
;;;;;
a: la variante include anche i relativi sotto-lignaggi;;;;;
b: non disponibile;;;;;
c: precedentemente “eta” (B.1.525), “kappa” (B.1.617.1) e “zeta” (P.2) ;;;;;
