Settimana n.;Settimana;Virus;N.;N. campioni;N. campioni analizzati
2020-46;9-15 novembre 2020;FLU A;0;49;48
2020-46;9-15 novembre 2020;A;0;49;48
2020-46;9-15 novembre 2020;A(H3N2);0;49;48
2020-46;9-15 novembre 2020;A(H1N1)pdm2009;0;49;48
2020-46;9-15 novembre 2020;FLU B;0;49;48
2020-46;9-15 novembre 2020;Positivi al SARS-CoV-2;18;49;48
2020-47;16-22 novembre 2020;FLU A;0;174;173
2020-47;16-22 novembre 2020;A;0;174;173
2020-47;16-22 novembre 2020;A(H3N2);0;174;173
2020-47;16-22 novembre 2020;A(H1N1)pdm2009;0;174;173
2020-47;16-22 novembre 2020;FLU B;0;174;173
2020-47;16-22 novembre 2020;Positivi al SARS-CoV-2;12;174;173
2020-48;23-29 novembre 2020;FLU A;0;156;153
2020-48;23-29 novembre 2020;A;0;156;153
2020-48;23-29 novembre 2020;A(H3N2);0;156;153
2020-48;23-29 novembre 2020;A(H1N1)pdm2009;0;156;153
2020-48;23-29 novembre 2020;FLU B;0;156;153
2020-48;23-29 novembre 2020;Positivi al SARS-CoV-2;29;156;153
2020-49;30 novembre-6 dicembre 2020;FLU A;0;148;148
2020-49;30 novembre-6 dicembre 2020;A;0;148;148
2020-49;30 novembre-6 dicembre 2020;A(H3N2);0;148;148
2020-49;30 novembre-6 dicembre 2020;A(H1N1)pdm2009;0;148;148
2020-49;30 novembre-6 dicembre 2020;FLU B;0;148;148
2020-49;30 novembre-6 dicembre 2020;Positivi al SARS-CoV-2;17;148;148
2020-50;7-13 dicembre 2020;FLU A;0;152;148
2020-50;7-13 dicembre 2020;A;0;152;148
2020-50;7-13 dicembre 2020;A(H3N2);0;152;148
2020-50;7-13 dicembre 2020;A(H1N1)pdm2009;0;152;148
2020-50;7-13 dicembre 2020;FLU B;0;152;148
2020-50;7-13 dicembre 2020;Positivi al SARS-CoV-2;26;152;148
2020-51;14-20 dicembre 2020;FLU A;0;128;128
2020-51;14-20 dicembre 2020;A;0;128;128
2020-51;14-20 dicembre 2020;A(H3N2);0;128;128
2020-51;14-20 dicembre 2020;A(H1N1)pdm2009;0;128;128
2020-51;14-20 dicembre 2020;FLU B;0;128;128
2020-51;14-20 dicembre 2020;Positivi al SARS-CoV-2;12;128;128
2020-52;21-27 dicembre 2020;FLU A;0;90;80
2020-52;21-27 dicembre 2020;A;0;90;80
2020-52;21-27 dicembre 2020;A(H3N2);0;90;80
2020-52;21-27 dicembre 2020;A(H1N1)pdm2009;0;90;80
2020-52;21-27 dicembre 2020;FLU B;0;90;80
