Regione;Macroarea;Casi   notificati al  26/01/2022;%  casi  nella macroarea;"Ampiezza campionaria
(p=5%, __=2%)"
Abruzzo;Sud;1085;7,3%;33
Basilicata;Sud;399;2,7%;12
Calabria;Sud;1566;10,5%;47
Campania;Sud;3650;24,4%;109
Emilia-Romagna;Nord-Est;2421;34,3%;148
Friuli Venezia Giulia;Nord-Est;585;8,3%;36
Lazio;Centro;2312;34,4%;148
Liguria;Nord-Ovest;985;12,8%;56
Lombardia;Nord-Ovest;4713;61,2%;264
Marche;Centro;1092;16,2%;70
Molise;Sud;320;2,1%;10
P.A. Bolzano;Nord-Est;377;5,3%;23
P.A. Trento;Nord-Est;244;3,5%;15
Piemonte;Nord-Ovest;1961;25,5%;110
Puglia;Sud;3302;22,1%;98
Sardegna;Isole;1172;7,8%;35
Sicilia;Isole;3450;23,1%;103
Toscana;Centro;2413;35,9%;154
Umbria;Centro;908;13,5%;58
Valle d'Aosta;Nord-Ovest;40;0,5%;3
Veneto;Nord-Est;3434;48,6%;209
TOTALE;;36429;;1741
