REGIONE/PA;N. Laboratori;"N. campioni positivi in
RT-PCR";N. campioni sequenziati;"N. di sequenze ottenute per
analisi";Delta;Omicron (Sotto-lignaggio non assegnato);Omicron (BA.1 (Clade 21K));Omicron (BA.2 (Clade 21L));Totale Omicron;Altre varianti;Delta (%);Omicron % (BA.1 (Clade 21K));Omicron % (BA.2 (Clade 21L));Totale Omicron %;Altre varianti (%);Altre varianti
ABRUZZO;2;462;55;55;0;0;42;13;55;0;0,00%;76,40%;23,60%;100,00%;0,00%;
BASILICATA;2;219;12;12;0;0;9;3;12;0;0,00%;75,00%;25,00%;100,00%;0,00%;
CALABRIA;4;1493;50;47;0;0;30;17;47;0;0,00%;63,80%;36,20%;100,00%;0,00%;
CAMPANIA;3;318;135;135;0;0;95;39;134;1;0,00%;70,40%;28,90%;99,30%;0,70%;
EMILIA ROMAGNA;3;142;139;139;0;0;58;81;139;0;0,00%;41,70%;58,30%;100,00%;0,00%;
FRIULI VENEZIA GIULIA;8;98;50;44;0;0;18;26;44;0;0,00%;40,90%;59,10%;100,00%;0,00%;
LAZIO;4;200;200;181;0;0;95;86;181;0;0,00%;52,50%;47,50%;100,00%;0,00%;
LIGURIA;9;506;60;59;0;0;12;47;59;0;0,00%;20,30%;79,70%;100,00%;0,00%;
LOMBARDIA;17;328;326;320;1;0;119;200;319;0;0,30%;37,20%;62,50%;99,70%;0,00%;
MARCHE;5;68;68;68;0;0;40;28;68;0;0,00%;58,80%;41,20%;100,00%;0,00%;
MOLISE;1;19;17;17;0;0;10;7;17;0;0,00%;58,80%;41,20%;100,00%;0,00%;
PA BOLZANO;1;79;28;28;0;0;7;21;28;0;0,00%;25,00%;75,00%;100,00%;0,00%;
PA TRENTO;1;15;15;12;0;0;9;3;12;0;0,00%;75,00%;25,00%;100,00%;0,00%;
PIEMONTE;13;120;120;104;0;1;47;56;104;0;0,00%;45,60%;54,40%;100,00%;0,00%;
PUGLIA;10;108;108;108;0;0;71;37;108;0;0,00%;65,70%;34,30%;100,00%;0,00%;
SARDEGNA;10;761;79;76;0;0;45;31;76;0;0,00%;59,20%;40,80%;100,00%;0,00%;
SICILIA;5;222;188;188;0;0;131;57;188;0;0,00%;69,70%;30,30%;100,00%;0,00%;
TOSCANA;3;223;119;119;1;0;62;56;118;0;0,80%;52,10%;47,10%;99,20%;0,00%;
UMBRIA;4;252;60;60;0;0;21;39;60;0;0,00%;35,00%;65,00%;100,00%;0,00%;
VALLE D'AOSTA;1;3;3;3;0;0;3;0;3;0;0,00%;100,00%;0,00%;100,00%;0,00%;
VENETO;12;209;209;209;0;1;128;80;209;0;0,00%;61,50%;38,50%;100,00%;0,00%;
ITALIA;118;5845;2041;1984;2;2;1052;927;1981;1;0,08%;55,78%;44,07%;99,86%;0,07%;
