Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.262;4.219;1.648.993;2,56;863;9,30;605;2,77;2267;2,38;484;1,25
2021-43;1.270;4.956;1.660.065;2,99;1167;12,58;696;3,19;2569;2,68;524;1,35
2021-44;1.274;5.569;1.665.060;3,34;1285;13,88;829;3,80;2830;2,94;625;1,60
2021-45;1.286;6.635;1.683.976;3,94;1602;17,39;1052;4,84;3215;3,29;766;1,93
2021-46;1.268;7.244;1.665.936;4,35;1753;19,32;1150;5,37;3528;3,64;813;2,08
2021-47;1.271;7.735;1.668.188;4,64;1667;18,43;1238;5,78;3873;3,99;957;2,44
2021-48;1.233;7.436;1.620.433;4,59;1438;16,50;1169;5,66;3895;4,12;934;2,45
2021-49;1.214;6.852;1.594.925;4,30;1220;14,27;1029;5,08;3702;3,98;901;2,39
2021-50;1.176;7.117;1.543.412;4,61;1159;13,67;1054;5,27;3977;4,45;927;2,55
2021-51;1.122;7.280;1.470.243;4,95;962;11,61;1004;5,15;4366;5,15;948;2,75
2021-52;1.057;7.569;1.384.524;5,47;768;9,59;954;5,06;4849;6,11;998;3,10
2022-01;973;6.352;1.273.098;4,99;574;7,69;825;4,76;4097;5,63;856;2,88
2022-02;740;4.564;969.713;4,71;436;7,84;587;4,53;2971;5,34;570;2,50
2022-03;;;;;;;;;;;;
2022-04;;;;;;;;;;;;
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
