Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;36;567;52.097;10,88;25;12,50;56;11,84;404;12,93;82;5,81
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;149;1.619;199.048;8,13;143;9,89;212;6,44;1.073;9,91;191;4,40
P.A. di Bolzano;4;18;5.586;3,22;4;5,93;-;-;14;5,28;-;-
P. A. di Trento;3;12;4.289;2,80;2;6,04;1;1,18;8;3,65;1;1,09
Veneto;42;102;59.397;1,72;3;0,77;4;0,47;82;2,53;13;0,89
Friuli V.G.;4;3;5.167;0,58;-;-;1;0,36;2;1,87;-;-
Liguria;16;57;20.709;2,75;4;5,43;3;1,32;42;3,54;8;1,37
Emilia Romagna;26;205;32.462;6,32;17;15,61;14;5,10;157;7,85;17;1,97
Toscana;26;162;42.628;3,80;24;10,05;28;4,52;90;4,24;20;1,56
Umbria;7;46;5.930;7,76;11;10,73;15;6,31;16;8,01;4;7,56
Marche;13;55;16.097;3,42;8;5,24;4;0,97;42;5,66;1;0,33
Lazio;188;789;247.720;3,19;71;7,29;120;4,74;496;3,22;102;1,74
Abruzzo;29;187;34.623;5,40;35;15,63;37;7,01;94;4,78;21;2,82
Molise;4;-;3.053;-;-;-;-;-;-;-;-;-
Campania;18;5;21.725;0,23;-;-;-;-;5;0,50;-;-
Puglia;57;237;74.437;3,18;39;11,30;36;4,68;129;2,84;33;1,85
Basilicata;12;11;15.639;0,70;4;1,77;3;0,88;4;0,56;-;-
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;97;471;117.883;4,00;44;9,37;52;4,42;302;4,18;73;2,51
Sardegna;8;12;9.677;1,24;2;2,34;1;0,60;7;1,40;2;0,93
