Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2015-42;12-18 ottobre 2015;821;425;1.065.225;0,4;<2,36;67.338;75;1,11;141.542;60;0,42;620.444;228;0,37;235.901;62;0,26
2015-43;19-25 ottobre 2015;928;604;1.204.096;0,5;<2,36;77.442;112;1,45;162.187;82;0,51;699.419;330;0,47;265.048;80;0,3
2015-44;26 ottobre-1 novembre 2015;956;842;1.245.366;0,68;<2,36;81.550;156;1,91;169.195;108;0,64;722.511;469;0,65;272.110;109;0,4
2015-45;2-8 novembre 2015;974;966;1.264.970;0,76;<2,36;79.453;183;2,3;167.503;140;0,84;737.462;528;0,72;280.552;115;0,41
2015-46;9-15 novembre 2015;987;1.180;1.343.418;0,88;<2,36;79.651;205;2,57;169.900;143;0,84;750.028;678;0,9;343.839;154;0,45
2015-47;16-22 novembre 2015;1.002;1.387;1.358.812;1,02;<2,36;81.677;221;2,71;173.210;183;1,06;757.242;829;1,09;346.683;154;0,44
2015-48;23-29 novembre 2015;1.003;1.580;1.357.498;1,16;<2,36;83.306;253;3,04;177.443;221;1,25;751.196;935;1,24;345.553;171;0,49
2015-49;30 novembre-6 dicembre 2015;996;1.632;1.352.768;1,21;<2,36;82.136;253;3,08;174.257;242;1,39;751.566;941;1,25;344.809;196;0,57
2015-50;7-13 dicembre 2015;1.010;1.978;1.366.123;1,45;<2,36;84.190;298;3,54;177.045;254;1,43;758.217;1.178;1,55;346.671;248;0,72
2015-51;14-20 dicembre 2015;1.014;2.278;1.369.347;1,66;<2,36;86.264;326;3,78;182.251;364;2;755.179;1.339;1,77;345.653;249;0,72
2015-52;21-27 dicembre 2015;972;2.655;1.258.708;2,11;<2,36;79.570;400;5,03;168.907;483;2,86;732.947;1.450;1,98;277.284;322;1,16
2015-53;28 dicembre 2015-3 gennaio 2016;967;2.448;1.309.847;1,87;<2,36;77.674;394;5,07;165.407;393;2,38;730.551;1.375;1,88;336.215;286;0,85
2016-01;4-10 gennaio 2016;1.029;3.329;1.393.405;2,39;<2,36;83.606;401;4,8;177.735;484;2,72;777.647;1.970;2,53;354.417;474;1,34
2016-02;11-17 gennaio 2016;1.026;3.831;1.388.267;2,76;<6,47 ;86.090;549;6,38;182.508;715;3,92;770.040;2.150;2,79;349.629;417;1,19
2016-03;18-24 gennaio 2016;1.021;4.990;1.379.740;3,62;<6,47 ;86.365;925;10,71;181.944;1.113;6,12;762.580;2.536;3,33;348.851;416;1,19
2016-04;25-31 gennaio 2016;1.028;6.580;1.391.906;4,73;<6,47 ;86.636;1.164;13,44;182.732;1.901;10,4;771.131;3.046;3,95;351.407;469;1,33
2016-05;1-7 febbraio 2016;1.017;7.545;1.379.302;5,47;<6,47 ;84.083;1.444;17,17;178.636;2.319;12,98;767.200;3.241;4,22;349.383;541;1,55
2016-06;8-14 febbraio 2016;1.029;8.425;1.390.518;6,06;<6,47 ;86.493;1.504;17,39;182.923;2.659;14,54;769.507;3.700;4,81;351.595;562;1,6
2016-07;15-21 febbraio 2016;1.018;8.148;1.381.385;5,9;<6,47 ;84.963;1.504;17,7;180.053;2.568;14,26;767.318;3.466;4,52;349.051;610;1,75
2016-08;22-28 febbraio 2016;1.014;8.448;1.375.255;6,14;<6,47 ;84.799;1.564;18,44;180.206;2.700;14,98;762.908;3.564;4,67;347.342;620;1,78
2016-09;29 febbraio-6 marzo 2016;996;7.960;1.352.617;5,88;<6,47 ;83.274;1.445;17,35;176.191;2.563;14,55;750.930;3.414;4,55;342.222;538;1,57
2016-10;7-13 marzo 2016;990;7.835;1.343.169;5,83;<6,47 ;82.522;1.435;17,39;176.967;2.593;14,65;743.148;3.260;4,39;340.532;547;1,61
2016-11;14-20 marzo 2016;977;6.639;1.327.280;5;<6,47 ;81.420;1.153;14,16;173.193;2.054;11,86;735.297;2.951;4,01;337.370;481;1,43
2016-12;21-27 marzo 2016;934;5.370;1.269.573;4,23;<6,47 ;76.818;885;11,52;163.097;1.530;9,38;704.033;2.510;3,57;325.625;445;1,37
2016-13;28 marzo-3 aprile 2016;926;4.007;1.261.639;3,18;<6,47 ;73.449;559;7,61;159.181;884;5,55;703.327;2.116;3,01;325.682;448;1,38
2016-14;4-10 aprile 2016;911;2.844;1.233.931;2,3;<2,36;75.048;351;4,68;159.718;604;3,78;681.158;1.551;2,28;318.007;338;1,06
2016-15;11-17 aprile 2016;883;2.127;1.146.638;1,85;<2,36;70.431;287;4,07;150.278;455;3,03;671.784;1.145;1,7;254.145;240;0,94
2016-16;18-24 aprile 2016;813;1.254;1.051.381;1,19;<2,36;65.911;189;2,87;141.216;290;2,05;611.839;672;1,1;232.415;103;0,44
