variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male;percent_variant_male;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case;native_case_last_45_days;imported_case;imported_case_last_45_days
B.1.1.7;27.912;41,9;0;0;13.945;41,2;0;0;13.967;39,6;0;0;27.660;0;252;0
B.1.1.7 + E484K;76;0,1;1;<0,1;37;0,1;0;0;39;0,1;1;0;76;1;0;0
B.1.351;290;0,4;1;<0,1;135;0,4;0;0;155;0,4;1;0;279;1;11;0
P.1;2.850;4,1;1;<0,1;1.396;4,1;1;0;1.454;4,1;0;0;2.816;1;34;0
B.1.617.2;29.962;43,4;4.907;92,2;14.463;42,7;2.613;92,8;15.499;44;2.294;91,5;28.382;4.802;1.580;105
B.1.525;459;0,7;0;0;184;0,5;0;0;275;0,8;0;0;373;0;86;0
B.1.617.1;431;0,6;72;1,4;216;0,6;42;1,5;215;0,6;30;1,2;429;72;2;0
B.1.617.3;31;<0,1;0;0;20;0,1;0;0;11;0;0;0;26;0;5;0
P.2;5;<0,1;0;0;1;0;0;0;4;0;0;0;5;0;0;0
Altro lignaggio/non indicato;7.096;10,3;341;6,4;3.475;10,3;160;5,7;3.621;10,3;181;7,2;6.904;336;192;5
;;;;;;;;;;;;;;;;
