Regione;N. Laboratori;N. campioni positivi in RT0PCR;N. campioni sequenziati;N. di sequenze ottenute per analisi;B.1.1.7;P.1;B.1.351;B.1.617.2;P.2;B.1.525;Altre varianti;B1.1.7;P.1;B.1.351;B.1.617.1.2;P.2;B.1.525
Abruzzo;2;23;16;16;7;0;0;9;0;0;0;43,8%;0;0;56,3%;0;0
Basilicata;2;13;13;8;8;0;0;0;0;0;0;100,0%;0;0;0;0;0
Calabria;2;37;30;30;15;3;0;9;0;3;0;50,0%;10,0%;0;30,0%;0;10,0%
Campania;3;110;95;95;56;10;0;28;0;0;1;58,9%;10,5%;0;29,5%;0;0
Emilia0Romagna;2;56;56;56;36;7;0;13;0;0;0;64,3%;12,5%;0;23,2%;0;0
Friuli0Venezia Giulia;7;17;17;17;4;0;0;12;0;0;1;23,5%;0;0;70,6%¤;0;0
Lazio;19;117;117;106;29;39;0;37;0;0;1;27,4%;36,8%;0;34,9%;0;0
Liguria;7;9;6;6;1;1;0;2;0;0;2;16,7%;16,7%;0;33,3%;0;0
Lombardia;15;168;152;144;64;4;0;55;0;4;17;44,4%;2,8%;0;38,2%;0;2,8%
Marche;4;9;9;9;3;1;0;4;0;1;0;33,3%;11,1%;0;44,4%;0;11,1%
Molise;1;6;6;6;6;0;0;0;0;0;0;100,0%;0;0;0;0;0
P.A. Bolzano;1;5;5;5;2;0;0;3;0;0;0;40,0%;0;0;60,0%;0;0
P.A. Trento;1;3;3;2;2;0;0;0;0;0;0;100,0%;0;0;0;0;0
Piemonte;13;46;46;40;28;0;0;2;0;0;10;70,0%;0;0;5,0%;0;0
Puglia;9;37;37;37;30;0;0;6;0;0;1;81,1%;0;0;16,2%;0;0
Sardegna;4;17;12;12;2;0;0;8;0;0;2;16,7%;0;0;66,7%;0;0
Sicilia;4;81;68;68;56;4;0;2;1;1;4;82,4%;5,9%;0;2,9%;1,5%;1,5%
Toscana;3;59;43;43;23;14;0;3;0;1;2;53,5%;32,6%;0;7,0%;0;2,3%
Umbria;4;13;13;8;4;3;0;0;0;0;1;50,0%;37,5%;0;0;0;0
Valle d'Aosta;1;1;1;1;1;0;0;0;0;0;0;100,0%;0;0;0;0;0
Veneto;9;27;27;27;16;6;0;3;0;0;2;59,3%;22,2%;0;11,1%;0;0
ITALIA;113;854;772;736;393;92;0;196;1;10;44;57,8%;11,8%;0;22,7%;0,2%;1,4%
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
