Regione;N. Laboratori;N. campioni positivi in RT-PCR;N. campioni sequenziati;N. di sequenze ottenute per analisi;B.1.1.7;P.1;B.1.351;P.2;B.1.525;Altre varianti;B1.1.7;P.1;B.1.351;P.2;B.1.525
Abruzzo;2;293;87;80;66;4;0;0;0;10;82,5;5,0;0;0;0
Basilicata;6;62;27;20;13;0;0;0;0;4;65,0;0;0;0;0
Calabria;1;26;26;26;22;0;0;0;0;4;84,6;0;0;0;0
Campania;3;1400;261;261;232;4;0;0;0;25;88,9;1,5;0;0;0
Emilia-Romagna;2;169;169;169;147;13;0;0;1;1;87,0;7,7;0;0;0,6
Friuli-Venezia Giulia;7;126;55;55;49;0;0;0;0;11;89,1;0;0;0;0
Lazio;11;214;205;205;161;42;0;0;0;1;78,5;20,5;0;0;0
Liguria;8;179;22;22;14;3;0;0;0;2;63,6;13,6;0;0;0
Lombardia;12;314;314;312;278;0;1;0;3;20;89,1;0;0,3;0;1,0
Marche;11;65;19;19;54;2;0;0;0;9;83,1;3,08;0;0;0
Molise;1;63;16;16;13;2;0;0;0;1;81,3;12,5;0;0;0
P.A. Bolzano;1;69;15;15;12;0;0;0;2;1;80,0;0;0;0;13,3
P.A. Trento;1;16;16;16;16;0;0;0;0;0;100,0;0;0;0;0
Piemonte;16;155;153;153;138;1;0;0;0;14;90,2;0,7;0;0;0
Puglia;11;126;126;126;117;0;0;0;0;0;92,9;0;0;0;0
Sardegna;6;85;21;21;18;0;1;0;0;2;85,7;0;4,8;0;0
Sicilia;5;632;132;129;97;3;0;0;3;14;75,2;2,3;0;0;2,3
Toscana;3;144;103;99;85;10;0;0;1;3;85,9;10,1;0;0;1,0
Umbria;5;80;26;25;16;8;0;0;0;1;64,0;32,0;0;0;0
Valle d'Aosta;1;32;2;2;2;0;0;0;0;0;100,0;0;0;0;0
Veneto;13;156;156;156;138;2;1;0;3;0;88,5;1,3;0,6;0;1,9
ITALIA;126;4406;1951;1927;1688;94;3;0;13;123;86,7;4,0;0,1;0;0,6
