Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;40;477;58.798;8,11;35;9,13;52;6,37;322;10,05;68;4,61
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;201;1.897;266.809;7,11;173;9,95;242;6,02;1.270;8,57;212;3,47
P.A. di Bolzano;5;22;7.659;2,87;5;14,84;4;4,68;12;2,52;1;0,58
P. A. di Trento;3;10;4.234;2,36;4;12,08;2;2,31;4;1,90;-;-
Veneto;43;91;62.112;1,47;15;5,45;13;1,94;57;1,56;6;0,37
Friuli V.G.;6;24;8.441;2,84;6;7,35;11;4,01;4;1,16;3;2,09
Liguria;19;180;24.131;7,46;23;20,44;35;11,41;105;8,01;17;2,49
Emilia Romagna;32;217;39.933;5,43;32;12,43;31;5,21;136;6,21;18;1,89
Toscana;28;162;47.672;3,40;26;10,80;26;4,16;88;3,57;22;1,53
Umbria;8;49;8.113;6,04;18;17,56;21;9,08;8;2,11;2;2,04
Marche;15;73;17.475;4,18;16;8,70;6;1,22;49;6,42;2;0,65
Lazio;190;820;250.416;3,27;77;7,91;123;4,84;500;3,21;120;2,02
Abruzzo;30;132;35.417;3,73;17;6,01;36;5,79;66;3,38;13;1,90
Molise;10;13;10.330;1,26;-;-;-;-;10;1,49;3;1,06
Campania;4;19;5.503;3,45;10;40,49;6;6,70;2;0,59;1;1,04
Puglia;63;263;79.408;3,31;59;14,41;57;6,40;120;2,53;27;1,43
Basilicata;11;10;14.147;0,71;4;2,24;2;0,82;4;0,56;-;-
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;72;382;90.784;4,21;21;7,09;41;5,19;244;4,34;76;3,21
Sardegna;12;10;14.866;0,67;2;1,31;3;0,88;4;0,56;1;0,36
