Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;93.731;220.057;959.600;388.875;1.662.263
2021-43;93.739;220.179;966.308;391.605;1.671.831
2021-44;93.546;220.284;969.989;392.559;1.676.378
2021-45;93.075;219.268;985.297;399.012;1.696.652
2021-46;91.811;216.302;976.351;393.532;1.677.996
2021-47;91.541;216.409;979.245;395.751;1.682.946
2021-48;88.935;210.317;955.458;385.950;1.640.660
2021-49;86.918;205.555;944.377;383.566;1.620.416
2021-50;86.646;204.341;917.928;373.629;1.582.544
2021-51;84.976;200.075;887.370;361.001;1.533.422
2021-52;83.249;196.049;852.609;345.513;1.477.420
2022-01;80.751;188.884;820.473;334.851;1.424.959
2022-02;73.307;172.298;756.178;309.724;1.311.507
2022-03;57.860;137.829;603.590;250.059;1.049.338
2022-04;;;;;
2022-05;;;;;
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
