Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.271;4.237;1.662.263;2,55;863;9,21;606;2,75;2280;2,38;488;1,25
2021-43;1.278;4.962;1.671.831;2,97;1167;12,45;697;3,17;2573;2,66;525;1,34
2021-44;1.282;5.579;1.676.378;3,33;1285;13,74;829;3,76;2835;2,92;630;1,60
2021-45;1.295;6.647;1.696.652;3,92;1603;17,22;1053;4,80;3225;3,27;766;1,92
2021-46;1.277;7.249;1.677.996;4,32;1754;19,10;1150;5,32;3533;3,62;812;2,06
2021-47;1.282;7.741;1.682.946;4,60;1667;18,21;1238;5,72;3879;3,96;957;2,42
2021-48;1.249;7.458;1.640.660;4,55;1440;16,19;1170;5,56;3911;4,09;937;2,43
2021-49;1.233;6.914;1.620.416;4,27;1221;14,05;1033;5,03;3746;3,97;914;2,38
2021-50;1.206;7.309;1.582.544;4,62;1168;13,48;1076;5,27;4108;4,48;957;2,56
2021-51;1.170;7.538;1.533.422;4,92;967;11,38;1019;5,09;4563;5,14;989;2,74
2021-52;1.127;7.960;1.477.420;5,39;771;9,26;976;4,98;5144;6,03;1069;3,09
2022-01;1.088;7.204;1.424.959;5,06;647;8,01;901;4,77;4687;5,71;969;2,89
2022-02;1.002;6.503;1.311.507;4,96;561;7,65;778;4,52;4303;5,69;861;2,78
2022-03;794;4.855;1.049.338;4,63;543;9,38;711;5,16;3009;4,99;592;2,37
2022-04;;;;;;;;;;;;
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
