Nomenclatura OMS;Lignaggio;Numero di casi (cumulativi);% (cumulativi);Numero di casi (ultimi 45 gg);% (ultimi 45 gg)
Alfa;B.1.1.7;26.738;63,5;1.340;17,3
Alfa;B.1.1.7 + E484K;69;0,2;19;0,2
Beta;B.1.351;278;0,7;9;0,1
Gamma;P.1;2.704;6,4;305;3,9
Delta;B.1.617.2;6.216;14,8;5.356;69,2
Eta;B.1.525;419;1;20;0,3
Kappa;B.1.617.1;155;0,4;121;1,6
ND;B.1.617.3;2;<0,1;1;<0,1
ND;P.2;5;<0,1;2;<0,1
Kappa/Delta;B.1.617.1/2;56;0,1;21;0,3
;Altro lignaggio/non indicato;5.496;13;545;7
Totale;;42.138;100;7.739;100
