Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.246;4.178;1.628.518;2,57;860;9,34;602;2,78;2237;2,38;479;1,26
2021-43;1.256;4.902;1.642.765;2,98;1161;12,61;692;3,20;2535;2,67;514;1,34
2021-44;1.259;5.478;1.646.871;3,33;1271;13,88;811;3,76;2789;2,92;607;1,57
2021-45;1.268;6.528;1.661.224;3,93;1589;17,45;1034;4,81;3168;3,28;737;1,89
2021-46;1.242;7.116;1.633.052;4,36;1732;19,44;1126;5,35;3475;3,66;783;2,04
2021-47;1.240;7.570;1.626.968;4,65;1638;18,52;1203;5,73;3796;4,01;933;2,44
2021-48;1.184;7.138;1.554.410;4,59;1410;16,80;1134;5,69;3716;4,10;878;2,40
2021-49;1.138;6.394;1.491.811;4,29;1189;14,63;968;5,03;3419;3,95;818;2,33
2021-50;1.018;6.019;1.334.774;4,51;1063;14,12;926;5,22;3279;4,27;751;2,39
2021-51;801;5.137;1.052.384;4,88;777;13,14;774;5,55;2970;4,89;616;2,50
2021-52;;;;;;;;;;;;
2022-01;;;;;;;;;;;;
2022-02;;;;;;;;;;;;
2022-03;;;;;;;;;;;;
2022-04;;;;;;;;;;;;
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
