Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;47;460;67.104;6,86;74;17,97;59;6,75;280;7,52;47;2,76
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;2;1.442;197.529;7,30;202;15,20;198;6,41;871;7,96;171;3,90
P.A. di Bolzano;145;14;7.127;1,96;8;11,87;5;3,05;1;0,27;-;-
P. A. di Trento;5;10;5.750;1,74;3;9,06;2;2,24;5;1,53;-;-
Veneto;4;106;62.196;1,70;13;3,92;9;1,15;74;2,01;10;0,70
Friuli V.G.;43;19;6.303;3,01;6;8,22;1;0,66;8;2,99;4;2,89
Liguria;5;90;21.768;4,13;20;17,78;6;1,98;51;4,41;13;2,15
Emilia Romagna;17;313;36.104;8,67;45;31,82;53;16,62;193;8,79;22;2,30
Toscana;30;261;45.929;5,68;37;13,74;52;7,39;132;5,76;40;3,01
Umbria;28;43;6.042;7,12;9;13,87;9;5,58;20;7,58;5;4,39
Marche;6;91;18.040;5,04;22;15,65;12;3,34;50;5,41;7;1,84
Lazio;14;993;256.690;3,87;131;13,18;116;4,43;622;3,89;124;2,05
Abruzzo;195;242;40.124;6,03;38;16,87;42;7,63;131;5,56;31;3,52
Molise;34;6;10.961;0,55;-;-;1;1,72;5;0,69;-;-
Campania;10;58;29.927;1,94;19;5,27;18;2,64;20;1,37;1;0,20
Puglia;24;303;93.009;3,26;57;11,86;62;5,77;156;2,84;28;1,24
Basilicata;73;23;15.639;1,47;9;3,98;13;3,80;1;0,14;-;-
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;102;624;122.605;5,09;70;12,99;108;7,81;337;4,53;109;3,75
Sardegna;5;27;6.447;4,19;14;15,82;8;3,42;5;2,01;-;-
