Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;92.052;216.315;939.721;380.430;1.628.518
2021-43;92.060;216.553;949.608;384.544;1.642.765
2021-44;91.548;215.977;953.614;385.732;1.646.871
2021-45;91.077;214.848;964.904;390.395;1.661.224
2021-46;89.100;210.639;950.216;383.097;1.633.052
2021-47;88.445;209.949;945.938;382.636;1.626.968
2021-48;83.907;199.385;905.877;365.241;1.554.410
2021-49;81.267;192.427;866.420;351.697;1.491.811
2021-50;75.273;177.388;768.413;313.700;1.334.774
2021-51;59.149;139.403;607.857;245.975;1.052.384
2021-52;;;;;
2022-01;;;;;
2022-02;;;;;
2022-03;;;;;
2022-04;;;;;
2022-05;;;;;
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
