Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.001;3.679;1.298.243;2,83;712;10,74;487;3,06;2.054;2,69;426;1,38
2021-43;953;4.147;1.237.709;3,35;935;14,84;546;3,59;2.216;3,05;450;1,52
2021-44;770;3.477;994.864;3,49;860;15,83;492;3,79;1.743;3,02;382;1,64
2021-45;;;;;;;;;;;;
2021-46;;;;;;;;;;;;
2021-47;;;;;;;;;;;;
2021-48;;;;;;;;;;;;
2021-49;;;;;;;;;;;;
2021-50;;;;;;;;;;;;
2021-51;;;;;;;;;;;;
2021-52;;;;;;;;;;;;
2022-01;;;;;;;;;;;;
2022-02;;;;;;;;;;;;
2022-03;;;;;;;;;;;;
2022-04;;;;;;;;;;;;
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
;;;;;;;;;;;;
