REGIONE/PA;NUMERO DI CASI TOTALE;"INCIDENZA CUMULATIVA
(PER 100.000 AB)";"N. CASI TRA IL
19-25/7";INCIDENZA 7GG (PER 100.000 AB);"N. CASI TRA IL
12-25/7";INCIDENZA 14GG (PER 100.000 AB)
Abruzzo;76.472;5.950;507;39,45;889;69,17
Basilicata;27.145;4.957;208;37,99;339;61,91
Calabria;71.117;3.787;699;37,23;1.332;70,94
Campania;432.426;7.613;2.207;38,86;4.067;71,61
Emilia-Romagna;395.845;8.904;3.508;78,91;6.595;148,35
Friuli-Venezia Giulia;105.423;8.794;425;35,45;723;60,31
Lazio;367.863;6.430;4.140;72,37;8.366;146,24
Liguria;105.750;7.004;880;58,29;1.628;107,83
Lombardia;854.161;8.570;4.500;45,15;8.103;81,3
Marche;105.684;7.039;796;53,02;1.374;91,51
Molise;13.970;4.711;62;20,91;118;39,79
Piemonte;368.067;8.613;1.313;30,73;2.207;51,65
PA Bolzano;65.370;12.248;156;29,23;308;57,71
PA Trento;47.529;8.725;224;41,12;480;88,11
Puglia;256.719;6.537;1.074;27,35;2.006;51,08
Sardegna;62.453;3.908;1.877;117,44;3.662;229,13
Sicilia;246.789;5.098;4.673;96,53;8.662;178,93
Toscana;253.303;6.905;4.057;110,6;6.882;187,61
Umbria;58.971;6.817;749;86,59;1.293;149,48
Valle d’Aosta;11.751;9.485;25;20,18;61;49,24
Veneto;439.448;9.056;4.421;91,11;8.398;173,07
ITALIA;4.366.256;7.368;36.501;61,6;67.493;113,9
