Regione;Sessione 1;Sessione 2;Sessione 3;Sessione 4;Sessione 5;Sessione 6
Abruzzo;-;64,40%;51,00%;59,40%;75,70%;71,10%
Basilicata;-;-;89,50%;85,20%;90,40%;91,80%
Calabria;54,90%;81,70%;68,80%;72,80%;66,80%;69,50%
Campania;7,00%;11,60%;18,50%;36,30%;54,80%;-
"Emilia-
Romagna";-;56,30%;51,20%;57,60%;70,20%;84,40%
"Friuli- Venezia
Giulia";-;52,60%;52,60%;50,60%;39,80%;37,80%
Lazio;49,70%;52,60%;52,00%;58,40%;60,60%;74,50%
Liguria;-;91,40%;90,70%;51,10%;48,40%;45,50%
Lombardia;53,00%;56,80%;55,90%;54,00%;46,30%;47,10%
Marche;46,70%;46,20%;23,40%;49,20%;49,20%;50,80%
Molise;-;100,00%;86,00%;86,20%;-;-
Piemonte;-;-;50,10%;44,00%;52,90%;51,50%
P.A. Bolzano;-;87,60%;89,90%;100,00%;98,80%;84,00%
P.A. Trento;66,50%;64,50%;64,80%;47,00%;55,80%;52,40%
Puglia;52,80%;79,50%;82,20%;76,80%;96,80%;-
Sardegna;-;-;-;85,20%;79,10%;90,70%
Sicilia;100,00%;55,10%;60,80%;33,90%;30,70%;34,20%
Toscana;-;45,10%;100,00%;100,00%;99,90%;87,10%
Umbria;-;-;94,20%;87,10%;82,50%;96,60%
"Valle
d’Aosta";88,80%;77,60%;90,40%;91,30%;92,70%;87,20%
Veneto;86,10%;69,90%;78,00%;68,90%;67,10%;67,00%
Italia;45,60%;54%;58,20%;56,50%;56,10%;60%
