Settimana;Data;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;18-24 ottobre 2021;1.308;4.272;1.713.241;2,49;97.331;866;8,9;228.025;612;2,68;988.110;2303;2,33;399.775;491;1,23
2021-43;25-31 ottobre 2021;1.313;4.966;1.720.624;2,89;97.292;1168;12,01;228.185;697;3,05;993.696;2576;2,59;401.451;525;1,31
2021-44;1-7 novembre 2021;1.317;5.590;1.725.143;3,24;97.099;1285;13,23;228.271;829;3,63;997.531;2844;2,85;402.242;632;1,57
2021-45;8-14 novembre 2021;1.332;6.673;1.747.584;3,82;96.862;1605;16,57;227.900;1053;4,62;1.013.525;3243;3,2;409.297;772;1,89
2021-46;15-21 novembre 2021;1.324;7.301;1.741.924;4,19;96.706;1760;18,2;227.388;1157;5,09;1.011.179;3563;3,52;406.651;821;2,02
2021-47;22-28 novembre 2021;1.335;7.820;1.755.204;4,46;97.382;1697;17,43;229.234;1252;5,46;1.018.487;3907;3,84;410.101;964;2,35
2021-48;29 novembre-5 dicembre 2021;1.314;7.589;1.729.390;4,39;95.581;1476;15,44;224.781;1192;5,3;1.005.047;3969;3,95;403.981;952;2,36
2021-49;6-12 dicembre 2021;1.313;7.120;1.728.741;4,12;94.239;1266;13,43;222.056;1065;4,8;1.006.490;3852;3,83;405.956;937;2,31
2021-50;13-19 dicembre 2021;1.304;7.589;1.713.465;4,43;94.982;1220;12,84;223.595;1115;4,99;993.493;4248;4,28;401.395;1006;2,51
2021-51;20-26 dicembre 2021;1.286;7.972;1.688.611;4,72;94.416;1031;10,92;221.978;1077;4,85;977.407;4822;4,93;394.810;1042;2,64
2021-52;27 dicembre 2021-2 gennaio 2022;1.267;8.581;1.663.701;5,16;93.134;817;8,77;219.511;1038;4,73;963.737;5580;5,79;387.319;1146;2,96
2022-01;3-9 gennaio 2022;1.262;8.138;1.658.111;4,91;92.480;704;7,61;217.416;992;4,56;961.187;5344;5,56;387.028;1098;2,84
2022-02;10-16 gennaio 2022;1.251;7.999;1.641.110;4,87;92.288;701;7,6;216.931;998;4,6;949.140;5262;5,54;382.751;1038;2,71
2022-03;17-23 gennaio 2022;1.246;7.447;1.635.710;4,55;92.297;751;8,14;216.688;1024;4,73;945.885;4758;5,03;380.840;914;2,4
2022-04;24-30 gennaio 2022;1.234;6.122;1.616.160;3,79;91.701;732;7,98;215.193;926;4,3;932.231;3735;4,01;377.035;729;1,93
2022-05;31 gennaio-6 febbraio 2022;1.215;5.123;1.592.841;3,22;89.188;652;7,31;210.099;802;3,82;921.739;3098;3,36;371.815;571;1,54
2022-06;7-13 febbraio 2022;1.209;4.422;1.584.651;2,79;88.831;657;7,4;209.442;687;3,28;916.907;2533;2,76;369.471;545;1,48
2022-07;14-20 febbraio 2022;1.197;4.171;1.569.139;2,66;87.171;738;8,47;205.560;669;3,25;909.728;2267;2,49;366.680;497;1,36
2022-08;21-27 febbraio 2022;1.189;4.322;1.555.690;2,78;87.149;775;8,89;206.049;751;3,64;899.514;2271;2,52;362.978;525;1,45
2022-09;28 febbraio-6 marzo 2022;1.178;4.667;1.542.173;3,03;86.405;819;9,48;203.828;829;4,07;891.614;2518;2,82;360.326;501;1,39
2022-10;7-13 marzo 2022;1.170;5.903;1.528.044;3,86;86.219;960;11,13;203.563;1088;5,34;882.565;3246;3,68;355.697;609;1,71
2022-11;14-20 marzo 2022;1.148;6.992;1.498.974;4,66;84.638;1145;13,53;200.263;1313;6,56;865.407;3849;4,45;348.666;685;1,96
2022-12;21-27 marzo 2022;1.129;7.530;1.474.488;5,11;83.878;1311;15,63;198.488;1540;7,76;849.497;3916;4,61;342.625;763;2,23
2022-13;28 marzo-3 aprile 2022;1.095;7.552;1.427.856;5,29;81.342;1330;16,35;193.103;1548;8,02;822.006;3904;4,75;331.405;770;2,32
2022-14;4-10 aprile 2022;1.053;6.264;1.375.230;4,55;75.810;1066;14,06;180.586;1290;7,14;796.893;3241;4,07;321.941;667;2,07
2022-15;11-17 aprile 2022;1.002;5.140;1.306.933;3,93;72.974;961;13,17;173.201;996;5,75;755.278;2603;3,45;305.480;580;1,9
2022-16;18-24 aprile 2022;932;4.396;1.208.573;3,64;69.615;745;10,7;164.636;774;4,7;693.638;2387;3,44;280.684;490;1,75
2022-17;25 aprile-1 maggio 2022;769;2.831;1.001.593;2,83;58.571;529;9,03;138.524;544;3,93;574.073;1451;2,53;230.425;307;1,33
