Stagione influenzale;Settimana;Casi stimati in Italia
2021 - 2022;18-24 ottobre 2021;147.700
2021 - 2022;25-31 ottobre 2021;171.000
2021 - 2022;1-7 novembre 2021;192.000
2021 - 2022;8-14 novembre 2021;226.200
2021 - 2022;15-21 novembre 2021;248.300
2021 - 2022;22-28 novembre 2021;264.000
2021 - 2022;29 novembre-5 dicembre 2021;260.000
2021 - 2022;6-12 dicembre 2021;244.000
2021 - 2022;13-19 dicembre 2021;262.400
2021 - 2022;20-26 dicembre 2021;279.700
2021 - 2022;27 dicembre 2021-2 gennaio 2022;305.600
2021 - 2022;3-9 gennaio 2022;290.800
2021 - 2022;10-16 gennaio 2022;288.800
2021 - 2022;17-23 gennaio 2022;269.700
2021 - 2022;24-30 gennaio 2022;224.400
2021 - 2022;31 gennaio-6 febbraio 2022;190.500
2021 - 2022;7-13 febbraio 2022;165.300
2021 - 2022;14-20 febbraio 2022;157.500
2021 - 2022;21-27 febbraio 2022;164.600
2021 - 2022;28 febbraio-6 marzo 2022;179.300
2021 - 2022;7-13 marzo 2022;228.900
2021 - 2022;14-20 marzo 2022;276.400
2021 - 2022;21-27 marzo 2022;302.600
2021 - 2022;28 marzo-3 aprile 2022;313.400
2021 - 2022;4-10 aprile 2022;269.900
2021 - 2022;11-17 aprile 2022;233.000
2021 - 2022;18-24 aprile 2022;215.500
2021 - 2022;25 aprile-1 maggio 2022;167.400
2021 - 2022;Totale;6.538.900
