Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;36;334;51.390;6,50;37;9,87;49;6,36;213;7,70;35;2,85
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;170;1.013;228.071;4,44;130;7,68;123;3,28;654;5,26;106;2,15
P.A. di Bolzano;5;7;7.659;0,91;4;11,87;-;-;3;0,63;-;-
P. A. di Trento;7;21;9.858;2,13;11;30,05;3;2,91;7;1,21;-;-
Veneto;30;55;41.181;1,34;8;2,10;9;1,06;35;1,76;3;0,33
Friuli V.G.;5;26;6.114;4,25;3;3,68;11;4,06;10;6,18;2;2,06
Liguria;15;64;18.915;3,38;7;8,39;19;8,74;34;3,27;4;0,73
Emilia Romagna;31;159;38.840;4,09;17;8,87;28;6,06;95;4,21;19;1,95
Toscana;24;98;39.191;2,50;28;10,40;26;3,72;37;1,95;7;0,66
Umbria;7;73;7.014;10,41;26;25,37;25;11,23;14;5,38;8;6,88
Marche;14;46;17.102;2,69;14;7,62;6;1,29;24;3,20;2;0,64
Lazio;182;535;239.746;2,23;57;6,02;79;3,21;331;2,23;68;1,19
Abruzzo;35;142;41.976;3,38;29;10,25;37;5,71;68;2,85;8;0,91
Molise;11;8;12.164;0,66;-;-;-;-;6;0,74;2;0,63
Campania;23;26;28.769;0,90;8;2,19;11;1,56;7;0,51;-;-
Puglia;58;211;73.035;2,89;44;12,25;57;6,67;91;2,09;19;1,10
Basilicata;11;7;14.147;0,49;1;0,56;-;-;6;0,84;-;-
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;103;366;123.869;2,95;48;9,88;82;6,31;192;2,51;44;1,49
Sardegna;11;6;13.587;0,44;1;0,66;-;-;1;0,16;4;1,70
