Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.279;4.242;1.672.411;2,54;863;9,16;607;2,74;2284;2,37;488;1,25
2021-43;1.286;4.962;1.681.886;2,95;1167;12,39;697;3,15;2573;2,65;525;1,33
2021-44;1.291;5.584;1.687.938;3,31;1285;13,67;829;3,74;2839;2,91;631;1,60
2021-45;1.306;6.659;1.710.743;3,89;1603;17,14;1053;4,77;3233;3,25;770;1,91
2021-46;1.294;7.280;1.699.480;4,28;1758;18,83;1155;5,25;3548;3,59;819;2,05
2021-47;1.300;7.769;1.705.974;4,55;1674;17,92;1245;5,64;3889;3,92;961;2,40
2021-48;1.270;7.497;1.668.822;4,49;1446;15,98;1174;5,48;3934;4,05;943;2,40
2021-49;1.259;7.006;1.654.744;4,23;1237;13,87;1045;4,95;3796;3,94;928;2,37
2021-50;1.241;7.425;1.627.956;4,56;1183;13,21;1095;5,18;4166;4,41;981;2,56
2021-51;1.211;7.721;1.586.473;4,87;1003;11,39;1052;5,07;4654;5,07;1012;2,71
2021-52;1.183;8.278;1.550.481;5,34;801;9,23;1018;4,96;5355;5,97;1104;3,05
2022-01;1.160;7.704;1.518.608;5,07;680;7,98;960;4,79;5028;5,73;1036;2,91
2022-02;1.124;7.414;1.465.712;5,06;663;7,94;926;4,71;4866;5,77;959;2,80
2022-03;1.086;6.601;1.417.380;4,66;718;8,89;956;5,02;4141;5,08;786;2,37
2022-04;998;5.051;1.296.042;3,90;653;8,43;797;4,38;3040;4,13;561;1,87
2022-05;779;3.201;1.014.172;3,16;473;7,60;565;3,90;1832;3,19;331;1,43
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
