Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;94.187;221.301;965.324;391.599;1.672.411
2021-43;94.195;221.432;972.195;394.064;1.681.886
2021-44;94.002;221.560;976.926;395.450;1.687.938
2021-45;93.531;220.563;993.972;402.677;1.710.743
2021-46;93.375;219.960;987.585;398.560;1.699.480
2021-47;93.435;220.568;991.082;400.889;1.705.974
2021-48;90.499;214.048;971.753;392.522;1.668.822
2021-49;89.157;210.993;963.601;390.993;1.654.744
2021-50;89.540;211.234;943.663;383.519;1.627.956
2021-51;88.044;207.612;917.985;372.832;1.586.473
2021-52;86.762;205.052;896.370;362.297;1.550.481
2022-01;85.169;200.539;877.428;355.472;1.518.608
2022-02;83.505;196.631;843.593;341.983;1.465.712
2022-03;80.798;190.509;814.949;331.124;1.417.380
2022-04;77.441;181.768;736.409;300.424;1.296.042
2022-05;62.263;144.940;575.141;231.828;1.014.172
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
