Regione;Macroarea;Casi notificati    al 23/09/2021;%          casi nella macroarea;Ampiezza campionaria (p=5%, __=2%)
Abruzzo;Sud;57;4%;14
Basilicata;Sud;38;3%;9
Calabria;Sud;178;12%;42
Campania;Sud;419;28%;98
Emilia-Romagna;Nord-Est;332;36%;111
Friuli Venezia Giulia;Nord-Est;68;7%;23
Lazio;Centro;372;44%;131
Liguria;Nord-Ovest;87;11%;33
Lombardia;Nord-Ovest;443;57%;164
Marche;Centro;87;10%;31
Molise;Sud;5;0%;2
P.A. Bolzano;Nord-Est;37;4%;13
P.A. Trento;Nord-Est;36;4%;12
Piemonte;Nord-Ovest;242;31%;90
Puglia;Sud;138;9%;32
Sardegna;Isole;34;2%;8
Sicilia;Isole;647;43%;150
Toscana;Centro;304;36%;107
Umbria;Centro;86;10%;31
Valle d'Aosta;Nord-Ovest;6;1%;3
Veneto;Nord-Est;445;48%;148
TOTALE;;4061;;1252
