REGIONE/PA;NUMERO DI CASI TOTALE;"INCIDENZA CUMULATIVA
(PER 100.000 AB)";"N. CASI TRA IL
6 - 12/9/2021";INCIDENZA 7GG (PER 100.000 AB);"N. CASI TRA IL
30/8 - 12/9/2021";INCIDENZA 14GG (PER 100.000 AB)
Abruzzo;80.377;6.253,77;608;47,31;1.166;90,72
Basilicata;29.223;5.336,76;288;52,6;637;116,33
Calabria;81.187;4.323,68;1.428;76,05;3.138;167,12
Campania;451.427;7.948;2.377;41,85;4.996;87,96
Emilia-Romagna;418.560;9.415,26;2.992;67,3;6.512;146,48
Friuli Venezia Giulia;109.429;9.128,57;707;58,98;1.467;122,38
Lazio;387.608;6.775,42;2.280;39,85;5.141;89,87
Liguria;111.575;7.390,03;783;51,86;1.646;109,02
Lombardia;876.512;8.794,15;3.660;36,72;7.425;74,5
Marche;112.128;7.468,2;848;56,48;1.843;122,75
Molise;14.425;4.864,32;57;19,22;161;54,29
Piemonte;377.575;8.835,86;1.486;34,77;3.096;72,45
PA Bolzano;67.487;12.644,8;426;79,82;897;168,07
PA Trento;48.989;8.993,02;221;40,57;429;78,75
Puglia;266.471;6.785,73;1.010;25,72;2.389;60,84
Sardegna;74.249;4.645,72;696;43,55;2.024;126,64
Sicilia;293.339;6.059,63;5.419;111,94;13.569;280,3
Toscana;277.377;7.561,39;2.512;68,48;5.868;159,96
Umbria;63.486;7.339,31;549;63,47;1.215;140,46
Valle d’Aosta;12.006;9.690,46;24;19,37;48;38,74
Veneto;463.378;9.549,36;3.591;74;7.496;154,48
ITALIA;4.616.808;7.791,09;31.962;53,94;71.163;120,09
