Gruppo;Fascia di etˆ;Efficacia vaccinale (Vaccinati ciclo incompleto vs non vaccinati);Efficacia vaccinale (Vaccinati ciclo completo vs non vaccinati)
Diagnosi di Sars-CoV-2 ;12_39;47,2 [46,6-47,9] ;69,3 [68,9-69,7] 
;40-59;67,6 [67,1-68,0] ;74,4 [74,1-74,8] 
;60-79;77,5 [77,1-77,9] ;82,2 [81,9-82,5] 
;80+;60,3 [59,1-61,6] ;86,8 [86,4-87,1] 
;Totale;63,1 [62,8-63,4] ;76,9 [76,7-77,1] 
;;;
Ospedalizzazioni;12_39;82,6 [80,2-84,7] ;88,6 [86,9-90,1] 
;40-59;89,4 [88,4-90,3] ;93,5 [92,9-94,0] 
;60-79;87,5 [86,8-88,1] ;93,6 [93,3-94,0] 
;80+;72,6 [70,9-74,1] ;93,0 [92,6-93,3] 
;Totale;84,1 [83,5-84,6] ;93,1 [92,8-93,3] 
;;;
Ricoveri in Terapia Intensiva;12_39;91,6 [79,8-96,5] ;94,9 [86,4-98,1] 
;40-59;93,3 [90,5-95,3] ;96,1 [94,5-97,3] 
;60-79;91,5 [90,1-92,7] ;95,8 [95,1-96,5] 
;80+;78,5 [71,2-83,9] ;93,2 [91,5-94,6] 
;Totale;90,8 [89,5-91,8] ;95,4 [94,8-95,9] 
;;;
Decessi ;12_39;-;-
;40-59;87,6 [81,5-91,7] ;92,5 [88,6-95,0] 
;60-79;90,1 [88,8-91,2] ;95,9 [95,2-96,5] 
;80+;77,9 [75,8-79,8] ;96,0 [95,6-96,3] 
;Totale;83,8 [82,6-84,9] ;95,7 [95,4-96,0] 
