Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;51;336;73.734;4,56;59;13,13;56;5,78;193;4,71;28;1,50
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;166;771;224.228;3,44;160;11,03;125;3,72;396;3,15;90;1,79
P.A. di Bolzano;5;21;7.659;2,74;8;23,74;3;3,51;10;2,10;-;-
P. A. di Trento;13;22;17.568;1,25;4;5,45;4;2,17;14;1,32;-;-
Veneto;29;43;39.161;1,10;17;4,00;12;1,18;14;0,82;-;-
Friuli V.G.;4;7;5.467;1,28;4;8,58;2;1,06;1;0,47;-;-
Liguria;18;75;23.163;3,24;15;13,33;9;2,99;38;3,00;13;2,04
Emilia Romagna;33;104;40.551;2,56;20;9,91;15;2,94;58;2,45;11;1,13
Toscana;30;112;51.374;2,18;29;10,77;18;2,54;45;1,71;20;1,31
Umbria;7;44;6.538;6,73;18;17,56;17;7,50;8;3,13;1;1,45
Marche;16;36;18.805;1,91;3;1,63;7;1,47;21;2,42;5;1,42
Lazio;193;473;253.257;1,87;59;5,93;62;2,38;289;1,83;63;1,06
Abruzzo;32;79;38.192;2,07;18;7,12;25;4,15;32;1,49;4;0,49
Molise;7;1;6.328;0,16;-;-;-;-;-;-;1;0,63
Campania;31;51;41.107;1,24;10;2,74;11;1,53;23;0,98;7;1,03
Puglia;64;282;80.994;3,48;67;15,40;58;6,07;121;2,53;36;1,87
Basilicata;11;15;14.147;1,06;5;2,80;3;1,23;4;0,56;3;1,09
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;108;397;132.006;3,01;60;11,11;80;6,13;211;2,59;46;1,44
Sardegna;12;8;14.866;0,54;3;1,97;2;0,59;3;0,42;-;-
