Settimana;Casi stimati in Italia;;;;
2021 -42;149.900;;;;
2021 -43;17 3.800;;;;
2021 -44;194.900;;;;
2021 -45;229.400;;;;
2021 -46;252.300;;;;
2021 -47;268.600;;;;
2021 -48;264.7 00;;;;
2021 -49;248.800;;;;
2021 -50;268.600;;;;
2021 -51;286.300;;;;
2021 -52;312.200;;;;
2022-01;296.100;;;;
2022-02;293.300;;;;
2022-03;269.500;;;;
2022-04;223.100;;;;
2022-05;187 .500;;;;
2022-06;163.7 00;;;;
2022-07;156.500;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
Totale;4.239.200;;;;
