Nomenclatura OMS;Lignaggio;Numero di casi (cumulativi);% (cumulativi);Numero di casi (ultimi 45 gg);% (ultimi 45 gg)
Alfa;B.1.1.7;26.195;69,73;1.747;35,24
Alfa;B.1.1.7 + E484K;66;0,18;33;0,67
Beta;B.1.351;275;0,73;16;0,32
Gamma;P.1;2.576;6,86;355;7,16
Delta;B.1.617.2;2.610;6,95;2.279;45,97
Eta;B.1.525;415;1,1;32;0,65
Kappa;B.1.617.1;94;0,25;67;1,35
ND;B.1.617.3;2;0,01;2;0,04
ND;P.2;4;0,01;2;0,04
Kappa/Delta;B.1.617.1/2;134;0,36;65;1,31
;Altro lignaggio/non indicato;5.194;13,83;360;7,26
Totale;;37.565;100;4.958;100
