variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male;percent_variant_male;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case;imported_case
B.1.1.7;26.195;69,73;1.747;35,24;13.124;70,96;850;37,78;13071;68,54;897;33,12;1.713;34
B.1.1.7 + E484K;66;0,18;33;0,67;33;0,18;15;0,67;33;0,17;18;0,66;33;0
B.1.351;275;0,73;16;0,32;128;0,69;8;0,36;147;0,77;8;0,32;15;1
P.1;2.576;6,86;355;7,16;1267;6,85;174;7,73;1309;6,86;181;6,68;347;8
B.1.617.2;2.610;6,95;2.279;45,97;1.121;6,06;990;43,99;1.489;7,81;1289;47,6;2.033;246
B.1.525;415;1,1;32;0,65;168;0,91;13;0,58;247;1,3;19;0,7;22;10
B.1.617.1;94;0,25;67;1,35;39;0,21;26;1,16;55;0,29;41;1,51;67;0
B.1.617.3;2;0,01;2;0,04;2;0,01;2;0,09;0;0;0;0;2;0
P.2;4;0,01;2;0,04;0;0;0;0;4;0,02;2;0,07;2;0
B.1.617.1/2;134;0,36;65;1,31;59;0,32;19;0,84;75;0,39;46;1,7;58;7
Other;5.194;13,83;360;7,26;2553;13,8;153;6,8;2641;13,85;207;7,64;329;31
