DATA RILEVAMENTO;TAGESMUTTER;NIDI D'INFANZIA;SCUOLA INFANZIA;SCUOLA PRIMARIA;SCUOLA SECONDARIA DI I GRADO;SCUOLA SECONDARIA DI II GRADO;TOTALE
20/09/21;0;0;0;1;0;0;1
27/09/21;0;0;0;1;0;0;1
04/10/21;0;0;1;1;0;0;2
11/10/21;0;0;1;1;1;1;4
18/10/21;0;0;2;1;1;0;4
25/10/21;0;0;1;2;2;1;6
02/11/21;0;0;0;0;4;1;5
07/11/21;0;0;0;1;0;0;1
15/11/21;0;0;1;2;1;1;5
23/11/21;0;0;2;8;4;4;18
29/11/21;0;0;2;9;8;2;21
06/12/21;0;0;5;13;12;3;33
13/12/21;0;0;3;23;12;3;41
20/12/21;0;3;5;21;10;8;47
27/12/21;0;4;6;16;10;9;45
10/01/22;0;3;0;0;0;0;3
17/01/22;0;14;27;38;30;81;190
24/01/22;4;29;108;112;69;143;465
31/01/22;1;30;115;150;64;36;396
