Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2017-42;16-22 ottobre 2017;1.040;1.194;1.339.814;0,89;<2,57 ;79.104;194;2,45;179.598;206;1,15;787.781;596;0,76;293.331;198;0,68
2017-43;23-29 ottobre 2017;1.046;1.147;1.347.928;0,85;<2,57 ;79.104;180;2,28;179.722;150;0,83;793.305;659;0,83;295.797;158;0,53
2017-44;30 ottobre-5 novembre 2017;1.045;1.273;1.345.992;0,95;<2,57 ;78.551;176;2,24;179.301;161;0,90;792.099;730;0,92;296.041;206;0,70
2017-45;6-12 novembre 2017;1.052;1.680;1.356.139;1,24;<2,57 ;79.060;219;2,77;180.453;187;1,04;798.676;1.038;1,30;297.950;236;0,79
2017-46;13-19 novembre 2017;1.069;2.204;1.379.471;1,60;<2,57 ;81.208;350;4,31;185.797;355;1,91;810.499;1.235;1,52;301.967;264;0,87
2017-47;20-26 novembre 2017;1.068;2.553;1.378.704;1,85;<2,57 ;80.868;358;4,43;184.670;380;2,06;810.639;1.496;1,85;302.527;319;1,05
2017-48;27 novembre-3 dicembre 2017;1.072;3.294;1.383.958;2,38;<2,57 ;80.447;497;6,18;184.109;562;3,05;814.990;1.846;2,27;304.412;389;1,28
2017-49;4-10 dicembre 2017;1.071;4.305;1.382.389;3,11;<7,94 ;79.978;583;7,29;182.981;778;4,25;814.770;2.393;2,94;304.660;551;1,81
2017-50;11-17 dicembre 2017;1.074;6.571;1.386.974;4,74;<7,94 ;80.367;949;11,81;183.710;1.304;7,10;817.018;3.613;4,42;305.879;705;2,30
2017-51;18-24 dicembre 2017;1.076;10.017;1.389.974;7,21;<7,94 ;80.817;1.504;18,61;184.548;2.328;12,61;818.437;5.109;6,24;306.172;1.076;3,51
2017-52;25-31 dicembre 2017;1.063;15.720;1.372.341;11,45;<13,50 ;79.179;2.158;27,25;181.683;3.127;17,21;809.043;8.507;10,51;302.436;1.928;6,37
2018-01;1-7 gennaio 2018;1.062;18.925;1.371.803;13,80;>=13,50;78.312;2.225;28,41;180.375;2.874;15,93;810.749;11.243;13,87;302.367;2.583;8,54
2018-02;8-14 gennaio 2018;1.073;20.407;1.385.719;14,73;>=13,50;80.149;2.623;32,73;183.927;3.390;18,43;816.595;11.836;14,49;305.048;2.558;8,39
2018-03;15-21 gennaio 2018;1.069;19.155;1.380.695;13,87;>=13,50;80.149;3.271;40,81;183.811;4.221;22,96;813.118;9.641;11,86;303.617;2.022;6,66
2018-04;22-28 gennaio 2018;1.061;17.390;1.370.445;12,69;<13,50 ;79.863;3.277;41,03;182.773;4.166;22,79;806.336;8.326;10,33;301.473;1.621;5,38
2018-05;29 gennaio-4 febbraio 2018;1.052;14.555;1.357.527;10,72;<11,47;79.516;2.667;33,54;182.068;3.433;18,86;797.554;7.153;8,97;298.389;1.302;4,36
2018-06;5-11 febbraio 2018;1.041;12.028;1.341.635;8,97;<11,47;79.635;2.286;28,71;181.876;2.697;14,83;785.609;5.943;7,56;294.515;1.102;3,74
2018-07;12-18 febbraio 2018;1.031;9.464;1.328.953;7,12;<7,94 ;78.589;1.668;21,22;180.251;2.044;11,34;778.710;4.825;6,20;291.403;927;3,18
2018-08;19-25 febbraio 2018;1.018;8.181;1.310.756;6,24;<7,94 ;77.142;1.310;16,98;177.519;1.666;9,38;768.360;4.366;5,68;287.735;839;2,92
2018-09;26 febbraio-4 marzo 2018;1.005;6.143;1.294.863;4,74;<7,94 ;75.848;908;11,97;174.247;1.027;5,89;759.569;3.576;4,71;285.199;632;2,22
2018-10;5-11 marzo 2018;991;4.630;1.277.805;3,62;<7,94 ;74.143;632;8,52;171.325;681;3,97;750.349;2.799;3,73;281.988;518;1,84
2018-11;12-18 marzo 2018;973;3.299;1.256.023;2,63;<7,94 ;70.961;434;6,12;164.778;478;2,90;741.416;1.994;2,69;278.868;393;1,41
2018-12;19-25 marzo 2018;955;2.654;1.233.288;2,15;<2,57 ;68.627;317;4,62;160.903;358;2,22;729.577;1.660;2,28;274.181;319;1,16
2018-13;26 marzo-1 aprile 2018;921;2.053;1.189.607;1,73;<2,57 ;64.025;233;3,64;151.021;231;1,53;708.180;1.243;1,76;266.381;346;1,30
2018-14;2-8 aprile 2018;899;1.536;1.163.184;1,32;<2,57 ;61.293;159;2,59;145.436;195;1,34;695.531;913;1,31;260.924;269;1,03
2018-15;9-15 aprile 2018;849;1.223;1.099.045;1,11;<2,57 ;56.052;140;2,50;132.930;157;1,18;662.159;756;1,14;247.904;170;0,69
2018-16;16-22 aprile 2018;774;894;1.003.664;89,00;<2,57 ;50.219;116;2,31;117.835;133;1,13;607.727;488;0,80;227.883;157;0,69
2018-17;23-29 aprile 2018;661;548;857.944;0,64;<2,57 ;42.017;60;1,43;96.551;69;0,71;524.056;329;0,63;195.320;90;0,46
