Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;53;495;75.136;6,59;146;32,65;87;9,00;227;5,35;35;1,89
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;168;1.462;225.577;6,48;390;24,92;216;5,96;727;5,86;129;2,59
P.A. di Bolzano;5;18;7.659;2,35;5;14,84;4;4,68;8;1,68;1;0,58
P. A. di Trento;5;16;7.321;2,19;2;6,04;4;4,45;9;2,09;1;0,56
Veneto;47;162;67.957;2,38;37;9,24;13;1,36;100;2,53;12;0,81
Friuli V.G.;8;30;10.524;2,85;14;15,42;3;1,19;11;2,30;2;0,87
Liguria;18;89;22.962;3,88;26;31,18;17;7,60;36;2,74;10;1,48
Emilia Romagna;46;339;56.857;5,96;84;31,15;46;6,76;177;5,27;32;2,32
Toscana;28;161;45.872;3,51;57;21,17;32;4,57;58;2,53;14;1,06
Umbria;12;65;12.132;5,36;27;17,85;23;6,74;12;2,34;3;1,45
Marche;13;83;15.823;5,25;26;25,79;21;6,99;36;4,27;-;-
Lazio;183;1.018;242.501;4,20;177;18,24;123;4,86;583;3,87;135;2,38
Abruzzo;32;186;36.818;5,05;59;26,66;42;8,03;64;3,04;21;2,52
Molise;11;22;11.467;1,92;-;-;3;5,15;16;2,11;3;0,99
Campania;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Puglia;61;312;75.408;4,14;82;16,63;65;6,14;143;3,33;22;1,30
Basilicata;10;-;13.260;-;-;-;-;-;-;-;-;-
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;108;669;134.057;4,99;104;21,57;102;7,79;312;3,72;151;4,69
Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
