Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;85.035;200.756;892.593;361.598;1.539.982
2021-43;85.043;200.922;899.540;364.227;1.549.732
2021-44;83.787;198.572;895.162;361.833;1.539.354
2021-45;82.192;194.129;888.120;358.687;1.523.128
2021-46;75.411;179.659;816.028;327.586;1.398.684
2021-47;58.724;141.520;627.474;251.373;1.079.091
2021-48;;;;;
2021-49;;;;;
2021-50;;;;;
2021-51;;;;;
2021-52;;;;;
2022-01;;;;;
2022-02;;;;;
2022-03;;;;;
2022-04;;;;;
2022-05;;;;;
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
