Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2010-42;18-24 ottobre 2010;882;834;1.158.321;0,72;82.771;168;2,03;160.986;142;0,88;687.787;453;0,66;226.777;71;0,31
2010-43;25-31 ottobre 2010;1.026;1.085;1.345.810;0,81;93.322;181;1,94;182.188;213;1,17;804.141;591;0,73;266.159;100;0,38
2010-44;1-7 novembre 2010;1.050;1.122;1.375.503;0,82;97.232;176;1,81;187.373;208;1,11;818.604;636;0,78;272.294;102;0,37
2010-45;8-14 novembre 2010;1.063;1.315;1.396.468;0,94;96.925;200;2,06;185.780;246;1,32;835.313;735;0,88;278.450;134;0,48
2010-46;15-21 novembre 2010;1.072;1.514;1.409.976;1,07;97.844;265;2,71;187.683;264;1,41;843.583;852;1,01;280.866;133;0,47
2010-47;22-28 novembre 2010;1.074;1.801;1.409.016;1,28;98.827;329;3,33;189.445;364;1,92;841.105;974;1,16;279.639;134;0,48
2010-48;29 novembre-5 dicembre 2010;1.075;1.995;1.409.379;1,42;100.797;322;3,19;193.291;437;2,26;837.913;1.099;1,31;277.378;137;0,49
2010-49;6-12 dicembre 2010;1.080;2.423;1.415.655;1,71;99.770;418;4,19;193.061;653;3,38;842.916;1.182;1,40;279.908;170;0,61
2010-50;13-19 dicembre 2010;1.091;3.315;1.430.177;2,32;101.922;595;5,84;196.150;900;4,59;849.156;1.635;1,93;282.949;185;0,65
2010-51;20-26 dicembre 2010;1.050;4.369;1.380.714;3,16;94.975;807;8,50;184.309;1.220;6,62;825.747;2.072;2,51;275.683;270;0,98
2010-52;27 dicembre 2010-2 gennaio 2011;1.058;6.108;1.389.759;4,40;96.782;1.076;11,12;186.270;1.610;8,64;831.704;3.025;3,64;275.003;397;1,44
2011-01;3-9 gennaio 2011;1.088;7.074;1.419.612;4,98;98.812;983;9,95;188.267;1.237;6,57;849.818;4.318;5,08;282.715;536;1,90
2011-02;10-16 gennaio 2011;1.116;9.426;1.462.949;6,44;105.530;1.295;12,27;201.636;1.880;9,32;867.902;5.600;6,45;287.881;651;2,26
2011-03;17-23 gennaio 2011;1.114;11.946;1.456.258;8,20;107.393;2.251;20,96;204.130;3.360;16,46;858.771;5.830;6,79;285.964;505;1,77
2011-04;24-30 gennaio 2011;1.101;14.950;1.435.437;10,41;105.426;3.017;28,62;195.498;4.901;25,07;850.935;6.447;7,58;283.578;585;2,06
2011-05;31 gennaio-6 febbraio 2011;1.102;15.940;1.444.480;11,04;103.412;3.011;29,12;197.490;5.646;28,59;857.645;6.689;7,80;285.933;594;2,08
2011-06;7-13 febbraio 2011;1.089;14.308;1.423.688;10,05;103.910;2.753;26,49;198.179;4.943;24,94;840.656;6.061;7,21;280.943;551;1,96
2011-07;14-20 febbraio 2011;1.069;10.849;1.396.634;7,77;103.280;2.172;21,03;196.686;3.405;17,31;822.740;4.795;5,83;273.928;477;1,74
2011-08;21-27 febbraio 2011;1.046;7.503;1.375.522;5,45;98.548;1.489;15,11;188.554;2.160;11,46;815.765;3.509;4,30;272.655;345;1,27
2011-09;28 febbraio-6 marzo 2011;1.026;5.594;1.358.931;4,12;97.760;1.046;10,70;187.575;1.419;7,56;805.000;2.799;3,48;268.596;330;1,23
2011-10;7-13 marzo 2011;1.000;4.075;1.315.090;3,10;93.111;761;8,17;179.726;965;5,37;779.956;2.092;2,68;262.297;257;0,98
2011-11;14-20 marzo 2011;916;2.723;1.296.669;2,10;92.647;486;5,25;179.330;571;3,18;766.727;1.461;1,91;257.965;205;0,79
2011-12;21-27 marzo 2011;963;2.072;1.267.894;1,63;88.210;390;4,42;172.038;410;2,38;753.616;1.117;1,48;254.030;155;0,61
2011-13;28 marzo-3 aprile 2011;932;1.397;1.227.822;1,14;83.450;261;3,13;164.659;264;1,60;733.231;753;1,03;246.482;119;0,48
2011-14;4-10 aprile 2011;886;1.096;1.169.795;0,94;80.178;212;2,64;150.020;209;1,39;702.183;584;0,83;237.414;91;0,38
2011-15;11-17 aprile 2011;860;926;1.132.491;0,82;75.330;183;2,43;142.450;157;1,10;684.115;502;0,73;230.596;84;0,36
2011-16;18-24 aprile 2011;781;690;1.026.856;0,67;66.447;143;2,15;125.653;101;0,80;624.044;392;0,63;210.712;54;0,26
2011-17;25 aprile-1 maggio 2011;596;412;785.802;0,52;53.231;82;1,54;102.530;57;0,56;468.740;235;0,50;161.301;38;0,24
