Gruppo;Fascia di etˆ;Non vaccinati;Vaccinati con ciclo incompleto;Vaccinati con ciclo completo
Popolazione (10/07/2021);dic-39;11.988.272 (68.8%);3.457.775 (19.8%);1.989.508 (11,4%)
;40-59;7.432.135 (40.3%);6.004.517 (32.5%);5.010.808 (27,2%)
;60-79;3.023.125 (22.3%);4.078.538 (30%);6.471.116 (47,7%)
;80+;435.635 (9.6%);200.300 (4.4%);3.918.172 (86%)
;;;;
Diagnosi di Sars-CoV-2 (25/06/2021 - 25/07/2021);dic-39;30626 (77,1%);6829 (17,2%);2.291 (5,8%)
;40-59;7782 (55,2%);3717 (26,4%);2.598 (18,4%)
;60-79;1951 (39,7%);1.423 (28,9%);1.545 (31,4%)
;80+;370 (29%);63 (4,9%);843 (66,1%)
;;;;
Ospedalizzazioni (18/06/2021 - 18/07/2021);dic-39;616 (92,5%);37 (5,6%);13 (2%)
;40-59;548 (85%);60 (9,3%);37 (5,7%)
;60-79;332 (63%);108 (20,5%);87 (16,5%)
;80+;123 (44,4%);11 (4%);143 (51,6%)
;;;;
Ricoveri in Terapia Intensiva (18/06/2021 - 18/07/2021);dic-39;15 (100%);0 (0%);0 (0%)
;40-59;48 (96%);0 (0%);2 (4%)
;60-79;45 (71,4%);10 (15,9%);8 (12,7%)
;80+;15 (68,2%);1 (4,5%);6 (27,3%)
;;;;
Decessi (04/06/2021 - 04/07/2021);dic-39;4 (100%);0 (0%);0 (0%)
;40-59;30 (90,9%);2 (6,1%);1 (3%)
;60-79;67 (69,8%);22 (22,9%);7 (7,3%)
;80+;68 (65,4%);6 (5,8%);30 (28,8%)
