Regione	Sessione 2	Sessione 3	Sessione 4	Sessione 5	Sessione 6	Sessione 7	Sessione 9	Sessione 10	Sessione 11
Abruzzo	76,4	77,5	213,4	490,9	658,3	821,2	6232,2	8447,4	5257,2
Basilicata	299,0	61,5	131,3	156,5	335,3	774,0	2972,9	7708,9	5948,6
Calabria	171,1	148,2	257,3	283,9	497,0	767,6	1597,2	1266,8	2032,2
Campania	101,5	154,0	310,1	445,7	588,6	802,7	5067,8	6104,3	4237,4
Emilia-Romagna	181,7	205,2	295,3	584,7	990,8	1486,7	6965,0	10456,8	4085,1
Friuli-Venezia Giulia	113,7	175,5	572,2	1036,8	1360,6	1385,3	4148,5	4468,6	3819,8
Lazio	123,9	163,6	285,9	571,6	803,5	1145,8	3989,1	6494,7	4199,9
Liguria	116,9	95,8	140,0	594,8	903,2	1495,9	6281,5	10389,2	4167,7
Lombardia	76,5	82,6	141,3	417,5	725,6	1152,7	6713,5	7332,9	2717,2
Marche	141,9	96,8	198,3	483,1	833,6	969,9	3787,6	10370,2	5392,8
Molise	43,2	37,8	151,2	302,4	367,2	145,8	3175,3	4298,5	5103,1
Piemonte	82,5	97,3	147,9	329,7	702,3	1220,3	5447,4	8409,0	3485,4
P.A. Bolzano	274,6	223,2	580,4	1372,9	2145,3	2002,5	6018,5	12197,8	6311,0
P.A. Trento	100,0	114,0	211,7	283,8	686,2	909,5	5856,9	9422,7	3500,7
Puglia	64,4	101,0	157,3	168,5	218,8	436,6	5450,3	6344,9	4539,5
Sardegna	59,2	30,6	53,3	186,6	308,1	566,8	2221,7	2700,6	3872,7
Sicilia	172,7	164,4	182,0	292,0	454,2	682,4	2653,6	2872,4	3097,3
Toscana	159,1	157,1	296,3	372,7	531,8	903,3	6627,1	9845,6	4740,2
Umbria	108,6	164,5	279,6	301,0	439,2	881,7	6091,2	7295,2	5365,7
Valle d'Aosta	272,1	119,7	87,1	1045,0	1273,5	1023,2	6759,6	8675,3	2209,6
Veneto	169,7	208,0	321,4	687,3	1314,2	2029,8	5686,9	9249,6	4227,7
Italia	122,5	136,7	232,9	449,4	725,1	1086,2	5218,9	7173,5	3864,6
