Numero di riferimento Sessione;Primo giorno della sessione;Ultimo Giorno della sessione;Note
1;13/09/21;26/09/21;
2;27/09/21;10/10/21;
3;11/10/21;24/10/21;
4;25/10/21;07/11/21;
5;08/11/21;21/11/21;
6;22/11/21;05/12/21;
7;06/12/21;19/12/21;
8;20/12/21;02/01/22;Non prevista raccolta
9;03/01/22;16/01/22;
10;17/01/22;30/01/22;
11;31/01/22;13/02/22;
12;14/02/22;27/02/22;
13;28/02/22;13/03/22;
14;14/03/22;27/03/22;
15;28/03/22;10/04/22;
16;11/04/22;24/04/22;
17;25/04/22;08/05/22;
18;09/05/22;22/05/22;
19;23/05/22;05/06/22;
