Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.285;4.252;1.680.215;2,53;866;9,08;612;2,74;2285;2,36;489;1,24
2021-43;1.294;4.966;1.692.873;2,93;1168;12,25;697;3,12;2576;2,63;525;1,32
2021-44;1.299;5.590;1.699.198;3,29;1285;13,51;829;3,71;2844;2,89;632;1,59
2021-45;1.315;6.671;1.722.888;3,87;1605;16,91;1053;4,72;3241;3,24;772;1,91
2021-46;1.305;7.301;1.714.740;4,26;1760;18,58;1157;5,20;3563;3,58;821;2,04
2021-47;1.313;7.816;1.723.906;4,53;1697;17,85;1252;5,59;3903;3,90;964;2,38
2021-48;1.292;7.589;1.698.370;4,47;1476;15,82;1192;5,43;3969;4,02;952;2,39
2021-49;1.287;7.109;1.692.776;4,20;1266;13,77;1063;4,91;3844;3,90;936;2,35
2021-50;1.273;7.572;1.669.966;4,53;1220;13,16;1115;5,11;4237;4,38;1000;2,55
2021-51;1.251;7.921;1.639.124;4,83;1031;11,19;1074;4,97;4778;5,05;1038;2,70
2021-52;1.228;8.482;1.609.658;5,27;817;8,99;1035;4,84;5492;5,91;1138;3,03
2022-01;1.216;7.970;1.594.625;5,00;704;7,83;984;4,67;5200;5,64;1082;2,91
2022-02;1.194;7.734;1.562.025;4,95;690;7,75;971;4,65;5064;5,63;1009;2,77
2022-03;1.174;6.998;1.538.177;4,55;742;8,52;999;4,87;4405;4,97;852;2,37
2022-04;1.143;5.618;1.492.057;3,77;721;8,35;872;4,30;3366;3,94;659;1,89
2022-05;1.089;4.504;1.422.881;3,17;622;7,60;741;3,85;2654;3,25;487;1,47
2022-06;994;3.588;1.298.732;2,76;551;7,38;574;3,26;2020;2,71;443;1,46
2022-07;831;2.882;1.090.691;2,64;559;8,88;509;3,43;1484;2,37;330;1,31
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
