variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male;percent_variant_male;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case;native_case_last_45_days;imported_case;imported_case_last_45_days
B.1.1.7;27.920;38,7;1;<0,1;13.947;39,4;1;<0,1;13.973;38;0;0;27.576;1;344;0
B.1.1.7 + E484K;75;0,1;1;<0,1;37;0,1;0;0;38;<0,1;1;<0,1;75;1;0;0
B.1.351;289;0,4;0;0;134;0,4;0;0;155;0,4;0;0;278;0;11;0
P.1;2.845;3,9;1;<0,1;1.392;3,9;1;<0,1;1.453;4;0;0;2.806;1;39;0
B.1.617.2;32.480;45,1;4.277;91,2;15.769;44,5;2.256;91,5;16.711;45,6;2.021;90,9;30.771;4.168;1.709;109
B.1.525;460;0,6;0;0;184;0,5;0;0;276;0,8;0;0;373;0;87;0
B.1.617.1;476;0,7;66;1,4;245;0,7;46;1,9;231;0,6;20;0,9;474;66;2;0
B.1.617.3;31;0;1;<0,1;20;<0,1;0;0;11;<0,1;1;<0,1;26;1;5;0
P.2;5;0;0;0;1;<0,1;0;0;4;<0,1;0;0;5;0;0;0
Altro lignaggio/non indicato;7.483;10,4;342;7,3;3.681;10,4;162;6,6;3.802;10,4;180;8,1;7.255;322;228;20
;;;;;;;;;;;;;;;;
