Fasce di etˆ;16-59 (n=622);16-59 (n=622);60-69 (n=828);60-69 (n=828);70-79 (n=1993);70-79 (n=1993);80+ (n=4985);80+ (n=4985);Totale (n=8428);Totale (n=8428)
Patologie preesistenti;N;%;N;%;N;%;N;%;N;%
Cardiopatia ischemica;40;6,4;169;20,4;576;28,9;1.593;32;2.378;28,2
Fibrillazione atriale;17;2,7;89;10,7;397;19,9;1.611;32,3;2.114;25,1
Scompenso cardiaco;31;5;75;9,1;260;13;982;19,7;1.348;16
Ictus;18;2,9;66;8;202;10,1;664;13,3;950;11,3
Ipertensione arteriosa;231;37,1;492;59,4;1352;67,8;3.475;69,7;5.550;65,9
Diabete mellito-Tipo 2;151;24,3;271;32,7;717;36;1.320;26,5;2.459;29,2
Demenza;16;2,6;48;5,8;230;11,5;1.693;34;1.987;23,6
BPCO (BroncoPneumopatia Cronica Ostruttiva);48;7,7;103;12,4;387;19,4;938;18,8;1.476;17,5
Cancro attivo negli ultimi 5 anni;103;16,6;152;18,4;388;19,5;718;14,4;1.361;16,1
Epatopatia cronica;55;8,8;57;6,9;123;6,2;192;3,9;427;5,1
Dialisi;23;3,7;26;3,1;60;3;89;1,8;198;2,3
Infezione da HIV;12;1,9;2;0,2;4;0,2;1;0;19;0,2
Malattie autoimmuni;46;7,4;48;5,8;83;4,2;220;4,4;397;4,7
Obesitˆ;193;31;187;22,6;285;14,3;316;6,3;981;11,6
