data;pubblicazione;url;fascia;vaccino;popolazione_diagnosi;diagnosi;popolazione_giorno_diagnosi;diagnosi_start;diagnosi_end;totale;percentuale_popolazione;percentuale_diagnosi;popolazione_ospedalizzati;ospedalizzazioni;popolazione_giorno_ospedalizzati;ospedalizzazioni_start;ospedalizzazioni_end;totale;percentuale_popolazione;percentuale_ospedalizzazioni;popolazione_ricoveri;ricoveri;popolazione_giorno_ricoveri;ricoveri_start;ricoveri_end;totale;percentuale_popolazione;percentuale_ricoveri;popolazione_decessi;decessi;popolazione_giorno_decessi;decessi_start;decessi_end;totale;percentuale_popolazione;percentuale_decessi
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;12_39;NON VACCINATI;2.618.486;191.868;25/12/21;10/12/21;09/01/22;17.435.938;0,150177524;0,073274404;2.890.767;949;11/12/21;26/11/21;26/12/21;17.435.938;0,165793604;0,000328287;2.890.767;56;11/12/21;26/11/21;26/12/21;17.435.938;0,165793604;1,94E-05;2.973.869;9;04/12/21;19/11/21;19/12/21;17.435.938;0,170559737;3,03E-06
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;12_39;VACCINATI CON CICLO INCOMPLETO;848.338;40.356;25/12/21;10/12/21;09/01/22;17.435.938;0,048654566;0,047570662;722.794;62;11/12/21;26/11/21;26/12/21;17.435.938;0,041454265;8,58E-05;722.794;1;11/12/21;26/11/21;26/12/21;17.435.938;0,041454265;1,38E-06;717.620;0;04/12/21;19/11/21;19/12/21;17.435.938;0,041157522;0
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;12_39;VACCINATI CON CICLO COMPLETO DA > 4 mesi;6.622.360;429.299;25/12/21;10/12/21;09/01/22;17.435.938;0,37981094;0,064825681;5.268.385;394;11/12/21;26/11/21;26/12/21;17.435.938;0,302156672;7,48E-05;5.268.385;8;11/12/21;26/11/21;26/12/21;17.435.938;0,302156672;1,52E-06;4.249.099;2;04/12/21;19/11/21;19/12/21;17.435.938;0,243697758;4,71E-07
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;12_39;VACCINATI CON CICLO COMPLETO DA <= 4 mesi;6.308.441;270.544;25/12/21;10/12/21;09/01/22;17.435.938;0,361806804;0,042886032;8.129.973;370;11/12/21;26/11/21;26/12/21;17.435.938;0,466276778;4,55E-05;8.129.973;10;11/12/21;26/11/21;26/12/21;17.435.938;0,466276778;1,23E-06;9.191.839;1;04/12/21;19/11/21;19/12/21;17.435.938;0,527177775;1,09E-07
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;12_39;VACCINATI CON CICLO COMPLETO + DOSE AGGIUNTIVA/BOOSTER;1.038.313;47.450;25/12/21;10/12/21;09/01/22;17.435.938;0,059550166;0,045699129;424.019;63;11/12/21;26/11/21;26/12/21;17.435.938;0,02431868;0,000148578;424.019;1;11/12/21;26/11/21;26/12/21;17.435.938;0,02431868;2,36E-06;303.511;0;04/12/21;19/11/21;19/12/21;17.435.938;0,017407208;0
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;40-59;NON VACCINATI;2.481.703;150.194;25/12/21;10/12/21;09/01/22;18.428.280;0,134668184;0,060520538;2.608.991;3.047;11/12/21;26/11/21;26/12/21;18.428.280;0,141575394;0,001167884;2.608.991;444;11/12/21;26/11/21;26/12/21;18.428.280;0,141575394;0,000170181;2.653.820;112;04/12/21;19/11/21;19/12/21;18.428.280;0,144008014;4,22E-05
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;40-59;VACCINATI CON CICLO INCOMPLETO;516.659;20.754;25/12/21;10/12/21;09/01/22;18.428.280;0,028036203;0,040169628;475.618;95;11/12/21;26/11/21;26/12/21;18.428.280;0,025809137;0,00019974;475.618;11;11/12/21;26/11/21;26/12/21;18.428.280;0,025809137;2,31E-05;478.520;7;04/12/21;19/11/21;19/12/21;18.428.280;0,025966612;1,46E-05
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;40-59;VACCINATI CON CICLO COMPLETO DA > 4 mesi;9.405.369;360.494;25/12/21;10/12/21;09/01/22;18.428.280;0,510376932;0,038328533;10.284.896;918;11/12/21;26/11/21;26/12/21;18.428.280;0,558103958;8,93E-05;10.284.896;56;11/12/21;26/11/21;26/12/21;18.428.280;0,558103958;5,44E-06;9.757.954;38;04/12/21;19/11/21;19/12/21;18.428.280;0,529509753;3,89E-06
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;40-59;VACCINATI CON CICLO COMPLETO DA <= 4 mesi;3.067.881;79.872;25/12/21;10/12/21;09/01/22;18.428.280;0,166476795;0,026034908;3.967.953;224;11/12/21;26/11/21;26/12/21;18.428.280;0,215318684;5,65E-05;3.967.953;20;11/12/21;26/11/21;26/12/21;18.428.280;0,215318684;5,04E-06;4.864.047;7;04/12/21;19/11/21;19/12/21;18.428.280;0,263944709;1,44E-06
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;40-59;VACCINATI CON CICLO COMPLETO + DOSE AGGIUNTIVA/BOOSTER;2.956.668;79.489;25/12/21;10/12/21;09/01/22;18.428.280;0,160441886;0,026884655;1.090.822;93;11/12/21;26/11/21;26/12/21;18.428.280;0,059192828;8,53E-05;1.090.822;5;11/12/21;26/11/21;26/12/21;18.428.280;0,059192828;4,58E-06;673.939;4;04/12/21;19/11/21;19/12/21;18.428.280;0,036570912;5,94E-06
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;60-79;NON VACCINATI;1.110.610;44.978;25/12/21;10/12/21;09/01/22;13.572.008;0,081830927;0,040498465;1.160.711;3.805;11/12/21;26/11/21;26/12/21;13.572.008;0,085522422;0,003278163;1.160.711;782;11/12/21;26/11/21;26/12/21;13.572.008;0,085522422;0,000673725;1.180.703;592;04/12/21;19/11/21;19/12/21;13.572.008;0,086995454;0,000501396
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;60-79;VACCINATI CON CICLO INCOMPLETO;230.843;5.986;25/12/21;10/12/21;09/01/22;13.572.008;0,017008758;0,025931044;218.877;201;11/12/21;26/11/21;26/12/21;13.572.008;0,01612709;0,000918324;218.877;24;11/12/21;26/11/21;26/12/21;13.572.008;0,01612709;0,000109651;219.269;27;04/12/21;19/11/21;19/12/21;13.572.008;0,016155973;0,000123136
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;60-79;VACCINATI CON CICLO COMPLETO DA > 4 mesi;7.147.269;149.081;25/12/21;10/12/21;09/01/22;13.572.008;0,52661839;0,020858457;8.856.653;3.659;11/12/21;26/11/21;26/12/21;13.572.008;0,652567623;0,000413136;8.856.653;387;11/12/21;26/11/21;26/12/21;13.572.008;0,652567623;4,37E-05;8.905.098;453;04/12/21;19/11/21;19/12/21;13.572.008;0,656137102;5,09E-05
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;60-79;VACCINATI CON CICLO COMPLETO DA <= 4 mesi;894.643;12.572;25/12/21;10/12/21;09/01/22;13.572.008;0,065918249;0,014052533;1.370.009;339;11/12/21;26/11/21;26/12/21;13.572.008;0,100943722;0,000247444;1.370.009;37;11/12/21;26/11/21;26/12/21;13.572.008;0,100943722;2,70E-05;1.996.665;47;04/12/21;19/11/21;19/12/21;13.572.008;0,147116403;2,35E-05
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;60-79;VACCINATI CON CICLO COMPLETO + DOSE AGGIUNTIVA/BOOSTER;4.188.643;50.775;25/12/21;10/12/21;09/01/22;13.572.008;0,308623676;0,012122064;1.965.758;290;11/12/21;26/11/21;26/12/21;13.572.008;0,144839142;0,000147526;1.965.758;34;11/12/21;26/11/21;26/12/21;13.572.008;0,144839142;1,73E-05;1.270.273;38;04/12/21;19/11/21;19/12/21;13.572.008;0,093595067;2,99E-05
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;80+;NON VACCINATI;203.668;8.384;25/12/21;10/12/21;09/01/22;4.573.719;0,044530064;0,041165033;212.556;1.763;11/12/21;26/11/21;26/12/21;4.573.719;0,04647334;0,008294285;212.556;86;11/12/21;26/11/21;26/12/21;4.573.719;0,04647334;0,000404599;216.466;730;04/12/21;19/11/21;19/12/21;4.573.719;0,047328225;0,003372354
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;80+;VACCINATI CON CICLO INCOMPLETO;82.461;954;25/12/21;10/12/21;09/01/22;4.573.719;0,018029311;0,011569105;81.040;121;11/12/21;26/11/21;26/12/21;4.573.719;0,017718622;0,00149309;81.040;8;11/12/21;26/11/21;26/12/21;4.573.719;0,017718622;9,87E-05;80.863;58;04/12/21;19/11/21;19/12/21;4.573.719;0,017679923;0,000717263
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;80+;VACCINATI CON CICLO COMPLETO DA > 4 mesi;1.387.865;17.050;25/12/21;10/12/21;09/01/22;4.573.719;0,303443434;0,012285057;1.938.908;2.623;11/12/21;26/11/21;26/12/21;4.573.719;0,423923726;0,001352823;1.938.908;83;11/12/21;26/11/21;26/12/21;4.573.719;0,423923726;4,28E-05;2.250.876;877;04/12/21;19/11/21;19/12/21;4.573.719;0,492132551;0,000389626
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;80+;VACCINATI CON CICLO COMPLETO DA <= 4 mesi;110.794;1.090;25/12/21;10/12/21;09/01/22;4.573.719;0,02422405;0,009838078;123.829;122;11/12/21;26/11/21;26/12/21;4.573.719;0,027074029;0,00098523;123.829;3;11/12/21;26/11/21;26/12/21;4.573.719;0,027074029;2,42E-05;136.502;49;04/12/21;19/11/21;19/12/21;4.573.719;0,029844859;0,000358969
12/01/22;14/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_12-gennaio-2022.pdf;80+;VACCINATI CON CICLO COMPLETO + DOSE AGGIUNTIVA/BOOSTER;2.788.931;22.432;25/12/21;10/12/21;09/01/22;4.573.719;0,609773141;0,008043225;2.217.386;509;11/12/21;26/11/21;26/12/21;4.573.719;0,484810282;0,00022955;2.217.386;19;11/12/21;26/11/21;26/12/21;4.573.719;0,484810282;8,57E-06;1.889.012;90;04/12/21;19/11/21;19/12/21;4.573.719;0,413014442;4,76E-05
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;12_39;NON VACCINATI;2.498.210;264.129;01/01/22;17/12/21;16/01/22;17.435.938;0,143279358;0,105727301;2.762.771;1.305;18/12/21;03/12/21;02/01/22;17.435.938;0,158452674;0,000472352;2.762.771;58;18/12/21;03/12/21;02/01/22;17.435.938;0,158452674;2,10E-05;2.888.581;11;11/12/21;26/11/21;26/12/21;17.435.938;0,165668231;3,81E-06
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;12_39;VACCINATI CON CICLO INCOMPLETO;877.882;60.188;01/01/22;17/12/21;16/01/22;17.435.938;0,050348998;0,068560467;771.189;134;18/12/21;03/12/21;02/01/22;17.435.938;0,044229854;0,000173758;771.189;1;18/12/21;03/12/21;02/01/22;17.435.938;0,044229854;1,30E-06;720.276;1;11/12/21;26/11/21;26/12/21;17.435.938;0,041309851;1,39E-06
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;12_39;VACCINATI CON CICLO COMPLETO DA > 4 mesi;6.620.342;602.129;01/01/22;17/12/21;16/01/22;17.435.938;0,379695202;0,090951344;6.159.858;830;18/12/21;03/12/21;02/01/22;17.435.938;0,353285152;0,000134743;6.159.858;13;18/12/21;03/12/21;02/01/22;17.435.938;0,353285152;2,11E-06;5.270.187;5;11/12/21;26/11/21;26/12/21;17.435.938;0,302260022;9,49E-07
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;12_39;VACCINATI CON CICLO COMPLETO DA <= 4 mesi;5.978.446;387.560;01/01/22;17/12/21;16/01/22;17.435.938;0,342880664;0,064826211;7.075.550;653;18/12/21;03/12/21;02/01/22;17.435.938;0,405802659;9,23E-05;7.075.550;12;18/12/21;03/12/21;02/01/22;17.435.938;0,405802659;1,70E-06;8.132.722;1;11/12/21;26/11/21;26/12/21;17.435.938;0,466434441;1,23E-07
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;12_39;VACCINATI CON CICLO COMPLETO + DOSE AGGIUNTIVA/BOOSTER;1.461.058;81.191;01/01/22;17/12/21;16/01/22;17.435.938;0,083795779;0,055570005;666.570;147;18/12/21;03/12/21;02/01/22;17.435.938;0,038229661;0,000220532;666.570;1;18/12/21;03/12/21;02/01/22;17.435.938;0,038229661;1,50E-06;424.172;0;11/12/21;26/11/21;26/12/21;17.435.938;0,024327455;0
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;40-59;NON VACCINATI;2.417.183;214.423;01/01/22;17/12/21;16/01/22;18.428.280;0,131167043;0,088707806;2.544.977;3.520;18/12/21;03/12/21;02/01/22;18.428.280;0,138101711;0,001383117;2.544.977;490;18/12/21;03/12/21;02/01/22;18.428.280;0,138101711;0,000192536;2.605.015;141;11/12/21;26/11/21;26/12/21;18.428.280;0,141359639;5,41E-05
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;40-59;VACCINATI CON CICLO INCOMPLETO;526.749;32.049;01/01/22;17/12/21;16/01/22;18.428.280;0,028583731;0,06084302;490.146;136;18/12/21;03/12/21;02/01/22;18.428.280;0,02659749;0,000277468;490.146;13;18/12/21;03/12/21;02/01/22;18.428.280;0,02659749;2,65E-05;474.300;10;11/12/21;26/11/21;26/12/21;18.428.280;0,025737616;2,11E-05
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;40-59;VACCINATI CON CICLO COMPLETO DA > 4 mesi;8.413.304;497.159;01/01/22;17/12/21;16/01/22;18.428.280;0,456543096;0,059092005;10.073.734;1369;18/12/21;03/12/21;02/01/22;18.428.280;0,546645373;0,000135898;10.073.734;77;18/12/21;03/12/21;02/01/22;18.428.280;0,546645373;7,64E-06;10.288.862;48;11/12/21;26/11/21;26/12/21;18.428.280;0,55831917;4,67E-06
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;40-59;VACCINATI CON CICLO COMPLETO DA <= 4 mesi;2.903.710;120.024;01/01/22;17/12/21;16/01/22;18.428.280;0,157568151;0,041334706;3.399.998;340;18/12/21;03/12/21;02/01/22;18.428.280;0,184498933;0,0001;3.399.998;23;18/12/21;03/12/21;02/01/22;18.428.280;0,184498933;6,76E-06;3.969.062;9;11/12/21;26/11/21;26/12/21;18.428.280;0,215378863;2,27E-06
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;40-59;VACCINATI CON CICLO COMPLETO + DOSE AGGIUNTIVA/BOOSTER;4.167.334;144.752;01/01/22;17/12/21;16/01/22;18.428.280;0,226137979;0,034734917;1.919.425;282;18/12/21;03/12/21;02/01/22;18.428.280;0,104156492;0,000146919;1.919.425;12;18/12/21;03/12/21;02/01/22;18.428.280;0,104156492;6,25E-06;1.091.041;8;11/12/21;26/11/21;26/12/21;18.428.280;0,059204711;7,33E-06
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;60-79;NON VACCINATI;1.080.476;65.071;01/01/22;17/12/21;16/01/22;13.571.415;0,079614101;0,060224383;1.132.177;4.547;18/12/21;03/12/21;02/01/22;13.571.415;0,083423652;0,004016156;1.132.177;914;18/12/21;03/12/21;02/01/22;13.571.415;0,083423652;0,000807294;1.156.168;739;11/12/21;26/11/21;26/12/21;13.571.415;0,085191412;0,00063918
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;60-79;VACCINATI CON CICLO INCOMPLETO;233.288;9.051;01/01/22;17/12/21;16/01/22;13.571.415;0,017189659;0,038797538;223.232;252;18/12/21;03/12/21;02/01/22;13.571.415;0,01644869;0,00112887;223.232;30;18/12/21;03/12/21;02/01/22;13.571.415;0,01644869;0,000134389;218.298;32;11/12/21;26/11/21;26/12/21;13.571.415;0,016085132;0,000146589
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;60-79;VACCINATI CON CICLO COMPLETO DA > 4 mesi;5.873.121;198.384;01/01/22;17/12/21;16/01/22;13.571.415;0,432756717;0,033778293;8.156.898;4.318;18/12/21;03/12/21;02/01/22;13.571.415;0,601035191;0,000529368;8.156.898;448;18/12/21;03/12/21;02/01/22;13.571.415;0,601035191;5,49E-05;8.859.777;526;11/12/21;26/11/21;26/12/21;13.571.415;0,652826327;5,94E-05
