Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;96.955;227.331;985.655;399.156;1.709.097
2021-43;96.916;227.491;991.241;400.832;1.716.480
2021-44;96.723;227.577;995.076;401.623;1.720.999
2021-45;96.486;227.206;1.011.070;408.678;1.743.440
2021-46;96.330;226.694;1.008.724;406.032;1.737.780
2021-47;97.382;229.162;1.016.034;409.482;1.752.060
2021-48;95.581;224.709;1.002.594;403.362;1.726.246
2021-49;94.239;221.984;1.004.037;405.337;1.725.597
2021-50;94.982;223.523;991.040;400.776;1.710.321
2021-51;94.416;221.906;974.954;394.191;1.685.467
2021-52;93.134;219.439;961.284;386.700;1.660.557
2022-01;92.480;217.344;958.734;386.409;1.654.967
2022-02;92.288;216.859;946.687;382.132;1.637.966
2022-03;92.297;216.585;941.943;379.508;1.630.333
2022-04;91.701;215.043;927.263;375.248;1.609.255
2022-05;89.188;209.949;916.771;370.028;1.585.936
2022-06;88.491;208.687;911.939;367.684;1.576.801
2022-07;86.391;203.272;901.964;363.775;1.555.402
2022-08;86.519;204.506;888.269;359.049;1.538.343
2022-09;84.065;199.247;877.263;355.041;1.515.616
2022-10;83.177;197.948;866.143;349.648;1.496.916
2022-11;81.256;193.966;841.770;339.416;1.456.408
2022-12;80.297;190.849;815.928;330.135;1.417.209
2022-13;77.037;184.482;773.037;313.052;1.347.608
2022-14;67.957;162.654;704.727;286.780;1.222.118
2022-15;56.348;135.912;567.912;230.347;990.519
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
