Regione;Macroarea;Casi notificati al 15/07/2021;% casi nella macroarea;Ampiezza campionaria (p=5, epsilon=2%)
Abruzzo;Sud;50;6%;18
Basilicata;Sud;5;1%;2
Calabria;Sud;32;4%;12
Campania;Sud;234;28%;83
Emilia-Romagna;Nord-Est;167;30%;76
Friuli Venezia Giulia;Nord-Est;21;4%;10
Lazio;Centro;353;60%;155
Liguria;Nord-Ovest;31;6%;16
Lombardia;Nord-Ovest;381;79%;187
Marche;Centro;40;7%;18
Molise;Sud;10;1%;4
P.A. Bolzano;Nord-Est;22;4%;10
P.A. Trento;Nord-Est;23;4%;11
Piemonte;Nord-Ovest;68;14%;34
Puglia;Sud;42;5%;15
Sardegna;Isole;112;13%;40
Sicilia;Isole;353;42%;125
Toscana;Centro;173;30%;76
Umbria;Centro;20;3%;9
Valle d'Aosta;Nord-Ovest;0;0%;0
Veneto;Nord-Est;318;58%;145
TOTALE;;2.455;;1.046
