Gruppo;Fascia di etˆ;Efficacia vaccinale (Vaccinati ciclo incompleto vs non vaccinati);Efficacia vaccinale (Vacciati ciclo completo vs non vaccinati)
Diagnosi di Sars-CoV-2 ;dic-39;51,49 [50,55-52,42];74,88 [74,12-75,62]
;40-59;69,86 [69,31-70,4];82,92 [82,48-83,36]
;60-79;77,13 [76,68-77,56];91,6 [91,3-91,88]
;80+;53,61 [52,1-55,09];90,11 [89,79-90,43]
;Totale;67,46 [67,12-67,8];86,65 [86,45-86,85]
;;;
Ospedalizzazioni;dic-39;78,4 [73,32-82,77];86,53 [82,06-90,18]
;40-59;89,54 [88,25-90,74];93,7 [92,54-94,74]
;60-79;86,02 [85,22-86,79];95,75 [95,23-96,24]
;80+;66,18 [64,11-68,16];94,5 [94,1-94,87]
;Totale;81,74 [81,05-82,42];94,96 [94,68-95,24]
;;;
Ricoveri in Terapia Intensiva;dic-39;-;-
;40-59;92,51 [88,57-95,41];97,44 [94,48-99,08]
;60-79;90,05 [88,29-91,62];97,95 [96,93-98,71]
;80+;75,62 [67,14-82,3];95,79 [94,1-97,1]
;Totale;89 [87,4-90,44];97,18 [96,39-97,84]
;;;
Decessi ;dic-39;-;-
;40-59;83,19 [72,95-90,39];93,84 [85,61-98,09]
;60-79;86,62 [84,75-88,31];95,68 [94,21-96,88]
;80+;74,99 [72,56-77,25];96,37 [95,9-96,8]
;Totale;80,34 [78,83-81,77];96,36 [95,93-96,76]
