Gruppo;Fascia di etˆ;Efficacia vaccinale (Vaccinati ciclo incompleto vs non vaccinati);Efficacia vaccinale (Vaccinati ciclo completo vs non vaccinati)
Diagnosi di Sars-CoV-2 ;12_39;44,4 [43,6-45,1] ;67,2 [66,6-67,7] 
;40-59;68,1 [67,6-68,6] ;75,6 [75,2-75,9] 
;60-79;77,7 [77,3-78,1] ;84 [83,7-84,3] 
;80+;59,9 [58,6-61,1] ;88,1 [87,8-88,4] 
;Totale;63,2 [62,8-63,5] ;78,1 [77,9-78,3] 
;;;
Ospedalizzazioni;12_39;82 [79,3-84,4] ;87,9 [85,7-89,7] 
;40-59;89,7 [88,7-90,7] ;93,9 [93,2-94,5] 
;60-79;87,7 [87-88,3] ;94,5 [94,1-94,8] 
;80+;72,2 [70,5-73,8] ;93,9 [93,5-94,2] 
;Totale;84,1 [83,5-84,6] ;93,9 [93,7-94,1] 
;;;
Ricoveri in Terapia Intensiva;12_39;-;-
;40-59;93,6 [90,7-95,6] ;95,8 [93,8-97,1] 
;60-79;91,7 [90,3-92,9] ;96,6 [95,8-97,2] 
;80+;77,7 [70-83,4] ;94,3 [92,7-95,6] 
;Totale;90,8 [89,5-91,9] ;96,0 [95,4-96,6] 
;;;
Decessi ;12_39;-;-
;40-59;88,3 [81,9-92,4] ;93,9 [89,4-96,4] 
;60-79;90,4 [89,1-91,5] ;96,9 [96,2-97,5] 
;80+;77,7 [75,6-79,7] ;96,7 [96,4-97] 
;Totale;84,0 [82,8-85,1] ;96,6 [96,3-96,9] 
