REGIONE/PA;NUMERO DI CASI TOTALE;"INCIDENZA CUMULATIVA
(PER 100.000 AB)";"N. CASI TRA IL
23 - 29/8/2021";INCIDENZA 7GG (PER 100.000 AB);"N. CASI TRA IL
16 - 29/8/2021";INCIDENZA 14GG (PER 100.000 AB)
Abruzzo;79.164;6159,4;657;51,12;1.421;110,56
Basilicata;28.601;5223,17;391;71,41;732;133,68
Calabria;77.807;4143,68;1.723;91,76;3.488;185,76
Campania;445.868;7850,12;3.133;55,16;6.563;115,55
Emilia-Romagna;411.883;9265,06;3.840;86,38;7.709;173,41
Friuli Venezia Giulia;107.785;8991,43;689;57,48;1.227;102,36
Lazio;381.380;6666,55;3.359;58,72;6.486;113,38
Liguria;110.061;7289,75;1.064;70,47;2.165;143,4
Lombardia;869.302;8721,81;3.718;37,3;7.033;70,56
Marche;110.229;7341,72;1.239;82,52;2.259;150,46
Molise;14.262;4809,36;110;37,09;177;59,69
Piemonte;374.368;8760,81;1.594;37,3;3.004;70,3
PA Bolzano;66.557;12470,51;362;67,83;709;132,84
PA Trento;48.552;8912,79;275;50,48;547;100,41
Puglia;263.862;6719,29;1.467;37,36;3.323;84,62
Sardegna;71.366;4465,33;1.483;92,79;3.771;235,95
Sicilia;280.182;5787,84;9.771;201,84;19.859;410,24
Toscana;271.339;7396,79;3.834;104,52;8.141;221,93
Umbria;62.340;7206,83;727;84,04;1.480;171,1
Valle d’Aosta;11.963;9655,76;27;21,79;92;74,26
Veneto;455.782;9392,82;4.217;86,9;7.899;162,78
ITALIA;4.542.653;7665,95;43.680;73,71;88.085;148,65
