Gruppo;Fascia di etˆ;Non vaccinati;Vaccinati con ciclo incompleto;Vaccinati con ciclo completo;Totale;% Non vaccinati;% Vaccinati con ciclo incompleto;% Vaccinati con ciclo completo
Popolazione (14/08/2021);12_39;8.165.625;3.447.156;5.822.774;17.435.555;46,83%;19,77%;33,40%
;40-59;5.263.193;1.734.907;11.449.360;18.447.460;28,53%;9,40%;62,06%
;60-79;1.926.937;776.230;10.869.612;13.572.779;14,20%;5,72%;80,08%
;80+;300.892;107.317;4.145.898;4.554.107;6,61%;2,36%;91,04%
;;;;;;;;
Diagnosi di Sars-CoV-2 (30/07/2021 - 29/08/2021);12_39;69.504;12.217;11.097;92.818;74,88%;13,16%;11,96%
;40-59;28.701;4.766;14.601;48.068;59,71%;9,92%;30,38%
;60-79;8.139;1.785;10.274;20.198;40,30%;8,84%;50,87%
;80+;1.593;157;4.408;6.158;25,87%;2,55%;71,58%
;;;;;;;;
Ospedalizzazioni (23/07/2021 - 22/08/2021);12_39;1.626;105;93;1.824;89,14%;5,76%;5,10%
;40-59;2.235;130;213;2.578;86,70%;5,04%;8,26%
;60-79;1.562;195;607;2.364;66,07%;8,25%;25,68%
;80+;565;50;875;1.490;37,92%;3,36%;58,72%
;;;;;;;;
Ricoveri in Terapia Intensiva  (23/07/2021 - 22/08/2021);12_39;62;5;2;69;89,86%;7,25%;2,90%
;40-59;249;8;19;276;90,22%;2,90%;6,88%
;60-79;286;15;66;367;77,93%;4,09%;17,98%
;80+;44;3;40;87;50,57%;3,45%;45,98%
;;;;;;;;
Decessi (09/07/2021 - 08/08/2021);12_39;4;0;0;4;100,00%;0,00%;0,00%
;40-59;56;6;8;70;80,00%;8,57%;11,43%
;60-79;164;18;40;222;73,87%;8,11%;18,02%
;80+;159;13;139;311;51,13%;4,18%;44,69%
